TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,help.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.3,help.js,12,66,18.18,16,33,43.24,0,0,12,NaN,63,171,28.38
3,help.js,16,66,24.24,19,34,51.35,0,0,16,NaN,82,156,36.94
3.7,help.js,16,66,24.24,19,34,51.35,0,0,16,NaN,82,156,36.94
4.4,help.js,17,66,25.76,19,35,51.35,0,0,17,NaN,84,155,37.84
5,help.js,17,66,25.76,19,35,51.35,0,0,17,NaN,84,155,37.84
5.7,help.js,19,66,28.79,19,37,51.35,0,0,19,NaN,88,153,39.64
6.3,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,89,153,40.09
6.9,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,89,153,40.09
7.6,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,89,153,40.09
8.2,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,89,153,40.09
8.8,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,89,153,40.09
9.4,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,89,153,40.09
10,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,89,153,40.09
10.6,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,89,153,40.09
11.2,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,89,153,40.09
11.8,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,89,153,40.09
12.4,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,89,153,40.09
13,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,96,149,43.24
13.6,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,96,149,43.24
14.1,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,96,149,43.24
14.7,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,96,149,43.24
15.2,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,96,149,43.24
15.8,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,96,149,43.24
16.4,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,96,149,43.24
16.9,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,96,149,43.24
17,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,96,149,43.24
17.5,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,96,149,43.24
18.1,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,96,149,43.24
18.6,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,96,149,43.24
19.2,help.js,26,66,39.39,19,44,51.35,0,0,26,NaN,100,148,45.05
20.1,help.js,26,66,39.39,19,44,51.35,0,0,26,NaN,100,148,45.05
20.6,help.js,26,66,39.39,19,44,51.35,0,0,26,NaN,100,148,45.05
21.2,help.js,26,66,39.39,19,44,51.35,0,0,26,NaN,100,148,45.05
21.8,help.js,26,66,39.39,19,44,51.35,0,0,26,NaN,100,148,45.05
22.5,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
23.1,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
23.6,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
23.7,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
24.2,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
24.8,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
25.4,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
26,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
26.6,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
27.2,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
27.8,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
28.3,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
28.4,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
28.9,help.js,27,66,40.91,20,44,54.05,0,0,27,NaN,104,145,46.85
29.5,help.js,28,66,42.42,20,45,54.05,0,0,28,NaN,106,144,47.75
