TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,help.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.3,help.js,6,66,9.09,14,29,37.84,0,0,6,NaN,47,181,21.17
3.1,help.js,12,66,18.18,17,32,45.95,0,0,12,NaN,65,169,29.28
3.8,help.js,12,66,18.18,17,32,45.95,0,0,12,NaN,65,169,29.28
3.9,help.js,12,66,18.18,18,31,48.65,0,0,12,NaN,67,167,30.18
4.6,help.js,12,66,18.18,18,31,48.65,0,0,12,NaN,67,167,30.18
5.3,help.js,12,66,18.18,18,31,48.65,0,0,12,NaN,67,167,30.18
6.1,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,73,164,32.88
6.7,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,73,164,32.88
6.8,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,73,164,32.88
7.4,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,79,159,35.59
8.1,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,86,154,38.74
8.8,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,86,154,38.74
9.5,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,86,154,38.74
10.1,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,86,154,38.74
10.8,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,86,154,38.74
11.4,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,86,154,38.74
12.1,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,86,154,38.74
12.7,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,86,154,38.74
13.4,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,86,154,38.74
14.1,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,90,152,40.54
14.7,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,90,152,40.54
15.4,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
16,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
16.6,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
16.7,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
17.3,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
17.9,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
18.5,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
18.6,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
19.2,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
19.8,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
19.9,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
20.5,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
21.1,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
21.7,help.js,23,66,34.85,19,41,51.35,0,0,23,NaN,94,151,42.34
22.7,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
23.3,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
23.8,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
23.9,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
24.4,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
24.5,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
25,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
25.1,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
25.6,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
25.7,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
26.3,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
26.9,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
27.5,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
28.1,help.js,24,66,36.36,19,42,51.35,0,0,24,NaN,96,150,43.24
