TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,application.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
3.4,application.js,15,52,28.85,12,29,46.15,0,0,15,NaN,112,168,42.26
4.9,application.js,15,52,28.85,12,29,46.15,0,0,15,NaN,112,168,42.26
6.4,application.js,15,52,28.85,12,29,46.15,0,0,15,NaN,112,168,42.26
7.9,application.js,15,52,28.85,12,29,46.15,0,0,15,NaN,112,168,42.26
9.7,application.js,25,52,48.08,16,35,61.54,0,0,25,NaN,166,124,62.64
11.2,application.js,29,52,55.77,16,39,61.54,0,0,29,NaN,175,119,66.04
12.5,application.js,29,52,55.77,16,39,61.54,0,0,29,NaN,175,119,66.04
13.8,application.js,29,52,55.77,16,39,61.54,0,0,29,NaN,175,119,66.04
13.9,application.js,29,52,55.77,16,39,61.54,0,0,29,NaN,175,119,66.04
15.2,application.js,29,52,55.77,16,39,61.54,0,0,29,NaN,175,119,66.04
16.5,application.js,29,52,55.77,16,39,61.54,0,0,29,NaN,175,119,66.04
17.8,application.js,29,52,55.77,16,39,61.54,0,0,29,NaN,175,119,66.04
19.1,application.js,32,52,61.54,17,41,65.38,0,0,32,NaN,184,113,69.43
20.3,application.js,33,52,63.46,17,42,65.38,0,0,33,NaN,186,112,70.19
21.4,application.js,33,52,63.46,17,42,65.38,0,0,33,NaN,186,112,70.19
22.5,application.js,33,52,63.46,17,42,65.38,0,0,33,NaN,186,112,70.19
23.6,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
24.6,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
24.7,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
25.7,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
25.8,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
26.8,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
27.9,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
28.9,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
30,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
31.1,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
32.2,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
33.3,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
34.4,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
35.5,application.js,34,52,65.38,17,43,65.38,0,0,34,NaN,188,111,70.94
