SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
application.js,,0.10778286267447572,DynaMOSA,,true,0.627906976744186,34,52,0.6538461538461539,137,187,0.732620320855615,17,26,0.6538461538461539,,,,3.3959999084472656,60.06500005722046,63.460999965667725,52,1621,1
request.js,,0.10778286267447572,DynaMOSA,,true,0.42028985507246375,12,44,0.2727272727272727,61,109,0.5596330275229358,7,20,0.35,,,,1.0170001983642578,60.146000146865845,61.1630003452301,63,1961,1
response.js,,0.10778286267447572,DynaMOSA,,true,0.1894273127753304,21,174,0.1206896551724138,96,363,0.2644628099173554,12,41,0.2926829268292683,,,,7.937999963760376,60.263999938964844,68.20199990272522,9,280,1
utils.js,,0.10778286267447572,DynaMOSA,,true,0.045454545454545456,3,34,0.08823529411764706,3,76,0.039473684210526314,1,14,0.07142857142857142,,,,0.500999927520752,60.01200008392334,60.51300001144409,120,3749,1
utils.js,,0.10778286267447572,DynaMOSA,,true,0.10606060606060606,5,34,0.14705882352941177,5,76,0.06578947368421052,3,14,0.21428571428571427,,,,0.5820000171661377,60.01699995994568,60.598999977111816,97,3014,1
utils.js,,0.10778286267447572,DynaMOSA,,true,0.19696969696969696,7,34,0.20588235294117646,9,76,0.11842105263157894,4,14,0.2857142857142857,,,,0.501000165939331,60.013999938964844,60.515000104904175,113,3529,1
utils.js,,0.10778286267447572,DynaMOSA,,true,0.24242424242424243,9,34,0.2647058823529412,13,76,0.17105263157894737,5,14,0.35714285714285715,,,,0.5080001354217529,60.057000160217285,60.56500029563904,109,3394,1
utils.js,,0.10778286267447572,DynaMOSA,,true,0.2878787878787879,11,34,0.3235294117647059,17,76,0.2236842105263158,6,14,0.42857142857142855,,,,1.0999999046325684,60.01400017738342,61.11400008201599,105,3258,1
utils.js,,0.10778286267447572,DynaMOSA,,true,0.45454545454545453,19,34,0.5588235294117647,25,76,0.32894736842105265,7,14,0.5,,,,0.4590001106262207,60.026999950408936,60.486000061035156,120,3739,1
utils.js,,0.10778286267447572,DynaMOSA,,true,0.5,21,34,0.6176470588235294,28,76,0.3684210526315789,8,14,0.5714285714285714,,,,1.505000114440918,60,61.50500011444092,95,2975,1
view.js,,0.10778286267447572,DynaMOSA,,true,0.08695652173913043,1,16,0.0625,7,56,0.125,1,5,0.2,,,,0.6590001583099365,60.00600004196167,60.665000200271606,84,2612,1
init.js,,0.10778286267447572,DynaMOSA,,true,0.5,0,2,0,1,11,0.09090909090909091,1,2,0.5,,,,0.5409998893737793,60.001999855041504,60.54299974441528,104,3226,1
query.js,,0.10778286267447572,DynaMOSA,,true,0.625,4,6,0.6666666666666666,8,16,0.5,1,2,0.5,,,,0.5379998683929443,60.02199983596802,60.55999970436096,97,3031,1
layer.js,,0.10778286267447572,DynaMOSA,,true,0.41935483870967744,9,22,0.4090909090909091,27,63,0.42857142857142855,4,5,0.8,,,,0.8600001335144043,60.038999795913696,60.8989999294281,65,2025,1
route.js,,0.10778286267447572,DynaMOSA,,true,0.2894736842105263,6,30,0.2,19,75,0.25333333333333335,5,8,0.625,,,,0.7609999179840088,60.02799987792969,60.788999795913696,70,2183,1
