TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,application.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
3.6,application.js,15,52,28.85,13,28,50,0,0,15,NaN,113,167,42.64
5.4,application.js,19,52,36.54,14,31,53.85,0,0,19,NaN,123,161,46.42
6.9,application.js,19,52,36.54,14,31,53.85,0,0,19,NaN,123,161,46.42
7,application.js,19,52,36.54,14,31,53.85,0,0,19,NaN,123,161,46.42
8.5,application.js,19,52,36.54,14,31,53.85,0,0,19,NaN,123,161,46.42
10.2,application.js,29,52,55.77,19,36,73.08,0,0,29,NaN,180,114,67.92
11.6,application.js,29,52,55.77,19,36,73.08,0,0,29,NaN,180,114,67.92
12.8,application.js,29,52,55.77,19,36,73.08,0,0,29,NaN,180,114,67.92
12.9,application.js,29,52,55.77,19,36,73.08,0,0,29,NaN,180,114,67.92
14.2,application.js,29,52,55.77,19,36,73.08,0,0,29,NaN,180,114,67.92
15.4,application.js,29,52,55.77,19,36,73.08,0,0,29,NaN,180,114,67.92
15.5,application.js,29,52,55.77,19,36,73.08,0,0,29,NaN,180,114,67.92
16.7,application.js,29,52,55.77,19,36,73.08,0,0,29,NaN,180,114,67.92
16.8,application.js,29,52,55.77,19,36,73.08,0,0,29,NaN,180,114,67.92
18,application.js,30,52,57.69,20,36,76.92,0,0,30,NaN,187,108,70.57
19.3,application.js,32,52,61.54,20,38,76.92,0,0,30,NaN,187,108,70.57
19.4,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,192,105,72.45
20.6,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,193,105,72.83
21.7,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
22.8,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
24,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
25.1,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
26.2,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
26.3,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
27.4,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
28.5,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
29.7,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
30.8,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
31.9,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
32,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
33,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
33.1,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
34.2,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
35.3,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
36.5,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
37.6,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
38.8,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
39.9,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
41,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
41.1,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
42.2,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
43.3,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
44.4,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
44.5,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
45.6,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
46.7,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
47.9,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
49,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
50.3,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
51.6,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
51.7,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
52.7,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
52.8,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
53.9,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
55,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
56.1,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
57.3,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
58.4,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
59.8,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
60.9,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
62,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
63.1,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
63.7,application.js,34,52,65.38,20,40,76.92,0,0,34,NaN,195,104,73.58
0,request.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.1,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
2.1,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
3.1,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
4.4,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
5.5,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
6.5,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
7.5,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
8.6,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
9.6,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
10.6,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
11.6,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
12.6,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
13.6,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
14.6,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
15.9,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
16.9,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
18,request.js,11,44,25,6,25,30,0,0,11,NaN,76,108,43.93
19,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
20,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
20.9,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
21,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
21.9,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
22,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
22.9,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
23.9,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
24.8,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
24.9,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
25.8,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
26.8,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
28,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
29,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
29.9,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
30.9,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
31.9,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
32.8,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
33.7,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
33.8,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
34.7,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
35.6,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
36.6,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
37.5,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
38.5,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
39.5,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
40.4,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
40.5,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
41.4,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
42.7,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
43.6,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
43.7,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
44.6,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
45.6,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
46.5,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
46.6,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
47.5,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
48.4,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
48.5,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
49.4,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
50.4,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
51.3,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
52.3,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
53.2,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
53.3,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
54.3,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
55.5,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
56.5,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
57.4,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
57.5,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
58.4,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
59.4,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
60.3,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
61.1,request.js,12,44,27.27,8,24,40,0,0,12,NaN,83,102,47.98
0,response.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
8,response.js,10,174,5.75,8,43,19.51,0,0,10,NaN,88,500,15.22
17.9,response.js,21,174,12.07,13,49,31.71,0,0,21,NaN,132,467,22.84
25.8,response.js,21,174,12.07,13,49,31.71,0,0,21,NaN,132,467,22.84
25.9,response.js,21,174,12.07,13,49,31.71,0,0,21,NaN,132,467,22.84
33.5,response.js,23,174,13.22,13,51,31.71,0,0,23,NaN,138,463,23.88
41,response.js,23,174,13.22,13,51,31.71,0,0,23,NaN,138,463,23.88
48.4,response.js,23,174,13.22,13,51,31.71,0,0,23,NaN,138,463,23.88
55.8,response.js,23,174,13.22,13,51,31.71,0,0,23,NaN,138,463,23.88
55.9,response.js,23,174,13.22,13,51,31.71,0,0,23,NaN,138,463,23.88
63.2,response.js,23,174,13.22,13,51,31.71,0,0,23,NaN,138,463,23.88
63.3,response.js,23,174,13.22,13,51,31.71,0,0,23,NaN,138,463,23.88
68.2,response.js,23,174,13.22,13,51,31.71,0,0,23,NaN,138,463,23.88
0,utils.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
0.5,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
1.1,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
1.6,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
2.1,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
2.6,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
3.1,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
3.6,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
4.2,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
4.7,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
5.2,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
5.7,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
6.2,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
6.7,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
7.3,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
7.8,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
8.3,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
8.8,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
9.3,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
9.8,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
10.3,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
10.8,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
11.3,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
11.8,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
12.3,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
12.9,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
13.4,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
13.9,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
14.4,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
14.9,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
15.5,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
16,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
16.5,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
17,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
17.5,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
18,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
18.5,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
19,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
19.5,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
20,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
20.6,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
21.1,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
21.6,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
22.1,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
22.6,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
23.2,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
23.7,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
24.2,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
24.7,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
25.2,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
25.7,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
26.2,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
26.7,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
27.3,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
27.8,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
28.3,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
28.8,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
29.4,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
29.9,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
30.4,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
31,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
31.5,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
32,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
32.6,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
33.7,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
34.2,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
34.7,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
35.2,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
35.8,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
36.3,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
36.8,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
37.4,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
37.9,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
38.4,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
39,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
39.5,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
40,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
40.6,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
41.1,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
41.6,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
42.1,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
42.7,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
43.2,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
43.7,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
44.2,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
44.8,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
45.3,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
45.8,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
46.4,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
46.9,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
47.9,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
48.5,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
49,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
49.5,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
50,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
50.6,utils.js,3,34,8.82,1,16,7.14,0,0,3,NaN,7,120,5.65
