TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,articulationPoints.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.7,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
2.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
2.6,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
2.9,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
3.2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
3.4,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
3.7,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
4,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
4.2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
4.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
4.7,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
5.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
5.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
5.8,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
6.1,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
6.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
6.6,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
6.9,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
7.2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
7.4,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
7.7,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
8,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
8.2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
8.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
8.8,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
9,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
9.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
9.6,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
9.9,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
10.1,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
10.4,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
10.6,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
10.9,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
11.2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
11.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
11.7,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
12,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
12.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
12.6,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
12.9,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
13.1,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
13.4,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
13.7,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
13.9,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
14.2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
14.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
14.7,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
15,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
15.2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
15.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
15.7,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
16,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
16.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
16.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
16.8,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
17,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
17.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
17.6,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
18.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
18.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
18.8,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
19,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
19.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
19.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
19.8,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
20,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
20.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
20.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
20.8,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
21,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
21.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
21.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
21.8,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
22,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
22.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
22.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
22.8,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
23,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
23.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
23.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
23.8,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
24,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
24.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
24.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
24.8,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
25.1,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
25.4,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
25.6,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
25.9,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
26.2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
26.4,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
26.6,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
26.9,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
27.2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
27.4,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
27.6,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
27.9,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
28.1,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
28.4,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
28.7,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
28.9,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
29.2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
29.4,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
29.6,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
29.9,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
30.2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
