TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,articulationPoints.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
1.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
4.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
4.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
4.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
4.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
5.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
5.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
5.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
6.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
6.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
6.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
6.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
7.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
7.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
7.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
7.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
8.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
8.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
8.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
8.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
9.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
9.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
9.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
9.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
10,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
10.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
10.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
10.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
11,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
11.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
11.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
11.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
11.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
12.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
12.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
12.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
12.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
13,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
13.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
13.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
13.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
13.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
14.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
14.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
14.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
14.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
15,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
15.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
15.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
15.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
15.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
16.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
16.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
16.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
16.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
17.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
17.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
17.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
18.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
18.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
18.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
18.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
19,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
19.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
19.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
19.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
19.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
20.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
20.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
20.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
20.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
21.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
21.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
21.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
21.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
22,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
22.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
22.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
22.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
22.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
23.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
23.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
23.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
23.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
24,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
24.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
24.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
24.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
25,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
25.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
25.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
25.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
25.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
26.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
26.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
26.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
26.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
27.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
27.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
