SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
articulationPoints.js,,0.7305365759919298,DynaMOSA,,true,0.5,0,12,0,8,28,0.2857142857142857,2,7,0.2857142857142857,,,,1.7070000171661377,60.003000020980835,61.71000003814697,232,7203,1
bellmanFord.js,,0.7305365759919298,DynaMOSA,,true,0.3,1,6,0.16666666666666666,6,18,0.3333333333333333,1,4,0.25,,,,0.3819999694824219,60.03200006484985,60.414000034332275,159,4943,1
breadthFirstSearch.js,,0.7305365759919298,DynaMOSA,,true,0.875,3,8,0.375,21,25,0.84,6,6,1,,,,0.5019998550415039,60.003000020980835,60.50499987602234,166,5176,1
graphBridges.js,,0.7305365759919298,DynaMOSA,,true,0.5,0,8,0,8,26,0.3076923076923077,2,7,0.2857142857142857,,,,0.4119999408721924,60,60.41199994087219,151,4703,1
depthFirstSearch.js,,0.7305365759919298,DynaMOSA,,true,0.7142857142857143,0,6,0,13,20,0.65,5,7,0.7142857142857143,,,,0.3530001640319824,60.009000062942505,60.36200022697449,148,4592,1
detectDirectedCycle.js,,0.7305365759919298,DynaMOSA,,true,0.75,1,8,0.125,9,30,0.3,1,5,0.2,,,,0.46900010108947754,60.00699996948242,60.4760000705719,135,4190,1
detectUndirectedCycle.js,,0.7305365759919298,DynaMOSA,,true,1,0,8,0,7,23,0.30434782608695654,2,3,0.6666666666666666,,,,0.434999942779541,0,0.434999942779541,0,30,1
detectUndirectedCycleUsingDisjointSet.js,,0.7305365759919298,DynaMOSA,,true,0.8333333333333334,0,2,0,6,9,0.6666666666666666,3,4,0.75,,,,0.45799994468688965,60.28700017929077,60.74500012397766,121,3762,1
dijkstra.js,,0.7305365759919298,DynaMOSA,,true,0.3076923076923077,1,10,0.1,10,25,0.4,1,3,0.3333333333333333,,,,0.7339999675750732,60.00800013542175,60.742000102996826,111,3463,1
eulerianPath.js,,0.7305365759919298,DynaMOSA,,true,0.2222222222222222,3,14,0.21428571428571427,15,36,0.4166666666666667,1,4,0.25,,,,0.624000072479248,60.34599995613098,60.97000002861023,99,3099,1
floydWarshall.js,,0.7305365759919298,DynaMOSA,,true,0.7857142857142857,4,6,0.6666666666666666,18,22,0.8181818181818182,8,8,1,,,,0.6189999580383301,60.10199999809265,60.72099995613098,100,3113,1
hamiltonianCycle.js,,0.7305365759919298,DynaMOSA,,true,0.125,0,10,0,8,31,0.25806451612903225,3,6,0.5,,,,0.7819998264312744,60.01799988746643,60.799999713897705,92,2867,1
kruskal.js,,0.7305365759919298,DynaMOSA,,true,0.5555555555555556,3,10,0.3,10,18,0.5555555555555556,2,4,0.5,,,,0.7310001850128174,60.019999980926514,60.75100016593933,87,2719,1
prim.js,,0.7305365759919298,DynaMOSA,,true,0.2,2,12,0.16666666666666666,6,23,0.2608695652173913,1,3,0.3333333333333333,,,,0.6440000534057617,60.0220000743866,60.66600012779236,87,2714,1
stronglyConnectedComponents.js,,0.7305365759919298,DynaMOSA,,true,0.3,0,8,0,5,34,0.14705882352941177,2,10,0.2,,,,0.7300000190734863,60.01900005340576,60.74900007247925,84,2610,1
topologicalSort.js,,0.7305365759919298,DynaMOSA,,true,0.5,0,2,0,2,15,0.13333333333333333,1,5,0.2,,,,2.1419999599456787,60.00999999046326,62.151999950408936,85,2645,1
bfTravellingSalesman.js,,0.7305365759919298,DynaMOSA,,true,0.1875,1,12,0.08333333333333333,7,40,0.175,3,6,0.5,,,,1.249000072479248,60.019999980926514,61.26900005340576,70,2200,1
