TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,Knapsack.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.8,Knapsack.js,0,40,0,7,7,50,0,0,0,NaN,16,104,13.33
2.1,Knapsack.js,0,40,0,8,6,57.14,0,0,0,NaN,18,102,15
2.4,Knapsack.js,0,40,0,9,5,64.29,0,0,0,NaN,25,95,20.83
2.7,Knapsack.js,0,40,0,9,5,64.29,0,0,0,NaN,25,95,20.83
3,Knapsack.js,0,40,0,9,5,64.29,0,0,0,NaN,25,95,20.83
3.3,Knapsack.js,0,40,0,9,5,64.29,0,0,0,NaN,25,95,20.83
3.6,Knapsack.js,3,40,7.5,9,8,64.29,0,0,3,NaN,34,89,28.33
4,Knapsack.js,6,40,15,9,11,64.29,0,0,6,NaN,41,85,34.17
4.2,Knapsack.js,6,40,15,9,11,64.29,0,0,6,NaN,41,85,34.17
4.5,Knapsack.js,11,40,27.5,12,13,85.71,0,0,11,NaN,56,75,46.67
4.8,Knapsack.js,11,40,27.5,12,13,85.71,0,0,11,NaN,56,75,46.67
5.1,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
5.4,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
5.7,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
6,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
6.3,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
6.6,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
6.9,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
7.2,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
7.5,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
7.8,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
8.1,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
8.4,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
8.6,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
8.9,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
9.2,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
9.5,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
9.8,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
10.1,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
10.4,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
10.7,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
11,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
11.3,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
11.5,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
11.8,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
12.1,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
12.4,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
12.7,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
13,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
13.3,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
13.6,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
13.9,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
14.2,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
14.4,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
14.7,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
15,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
15.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
15.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
15.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
16.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
16.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
16.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
17,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
17.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
17.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
17.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
18.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
18.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
18.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
18.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
19.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
20,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
20.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
20.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
20.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
21.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
21.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
21.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
21.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
22.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
22.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
22.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
23,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
23.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
23.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
23.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
24.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
24.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
24.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
24.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
25,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
25.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
25.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
25.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
25.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
26.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
26.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
26.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
26.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
27.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
27.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
27.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
28,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
28.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
28.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
28.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
28.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
29.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
29.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
29.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
30,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
30.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
30.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
30.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
31.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
31.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
31.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
31.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
32,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
32.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
32.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
32.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
33.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
33.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
33.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
33.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
34.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
34.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
34.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
34.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
35,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
35.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
35.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
35.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
36.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
36.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
36.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
37,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
37.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
37.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
37.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
38.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
38.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
38.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
39,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
39.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
39.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
39.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
40.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
40.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
40.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
41.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
41.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
41.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
42,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
42.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
43.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
43.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
43.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
44,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
44.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
44.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
44.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
45.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
45.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
45.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
45.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
46,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
46.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
46.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
46.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
47.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
47.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
47.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
48.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
48.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
48.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
49,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
49.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
49.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
49.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
50.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
50.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
50.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
51,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
51.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
51.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
51.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
52.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
52.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
52.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
53.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
53.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
53.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
53.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
54.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
54.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
54.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
55.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
55.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
55.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
56,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
56.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
56.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
56.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
57.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
57.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
57.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
58,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
58.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
58.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
58.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
59.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
59.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
59.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
60.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
60.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
60.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
60.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
61.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
61.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
61.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
0,KnapsackItem.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
0.3,KnapsackItem.js,1,2,50,5,1,100,0,0,1,NaN,14,2,93.33
