TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,Knapsack.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.8,Knapsack.js,0,40,0,8,6,57.14,0,0,0,NaN,18,102,15
2.2,Knapsack.js,0,40,0,8,6,57.14,0,0,0,NaN,18,102,15
2.5,Knapsack.js,0,40,0,8,6,57.14,0,0,0,NaN,18,102,15
2.9,Knapsack.js,8,40,20,12,10,85.71,0,0,8,NaN,45,83,37.5
3.2,Knapsack.js,9,40,22.5,14,9,100,0,0,9,NaN,56,73,46.67
3.5,Knapsack.js,9,40,22.5,14,9,100,0,0,9,NaN,56,73,46.67
3.9,Knapsack.js,13,40,32.5,14,13,100,0,0,13,NaN,66,67,55
4.2,Knapsack.js,13,40,32.5,14,13,100,0,0,13,NaN,66,67,55
4.5,Knapsack.js,13,40,32.5,14,13,100,0,0,13,NaN,66,67,55
4.8,Knapsack.js,13,40,32.5,14,13,100,0,0,13,NaN,66,67,55
5.1,Knapsack.js,13,40,32.5,14,13,100,0,0,13,NaN,66,67,55
5.5,Knapsack.js,13,40,32.5,14,13,100,0,0,13,NaN,66,67,55
5.8,Knapsack.js,13,40,32.5,14,13,100,0,0,13,NaN,66,67,55
6.1,Knapsack.js,13,40,32.5,14,13,100,0,0,13,NaN,66,67,55
6.4,Knapsack.js,13,40,32.5,14,13,100,0,0,13,NaN,66,67,55
6.7,Knapsack.js,13,40,32.5,14,13,100,0,0,13,NaN,66,67,55
7,Knapsack.js,13,40,32.5,14,13,100,0,0,13,NaN,66,67,55
7.3,Knapsack.js,13,40,32.5,14,13,100,0,0,13,NaN,66,67,55
7.7,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
8,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
8.3,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
8.6,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
8.9,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
9.2,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
9.5,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
9.8,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
10.1,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
10.4,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
10.7,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
11,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
11.3,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
11.4,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
11.7,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
12,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
12.3,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
12.6,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
12.9,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
13.2,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
13.6,Knapsack.js,14,40,35,14,14,100,0,0,14,NaN,69,65,57.5
