TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,Matrix.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
2.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
2.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
2.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
3.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
3.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
4.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
4.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
5.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
5.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
6.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
6.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
7.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
7.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
7.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
8.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
8.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
9.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
9.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
10,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
10.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
10.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
11,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
11.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
11.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
12,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
12.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
12.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
13,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
13.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
13.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
14,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
14.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
14.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
15,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
15.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
15.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
16,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
16.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
16.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
17,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
17.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
17.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
18,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
18.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
18.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
19,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
19.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
19.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
20.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
20.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
20.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
21.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
21.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
21.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
22.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
22.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
22.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
23.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
23.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
23.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
24.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
24.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
24.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
25.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
25.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
25.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
26.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
26.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
26.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
27.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
27.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
27.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
27.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
28.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
28.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
29.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
29.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
30,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
30.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
30.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
31,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
31.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
31.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
32.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
32.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
32.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
33.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
33.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
33.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
34.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
34.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
34.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
35.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
35.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
35.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
36.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
36.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
36.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
36.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
37.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
37.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
37.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
38.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
38.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
38.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
39.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
39.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
40,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
