SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
Matrix.js,,0.917063479601954,DynaMOSA,,true,0.25806451612903225,2,38,0.05263157894736842,20,107,0.18691588785046728,1,24,0.041666666666666664,,,,1.8959999084472656,60.01799988746643,61.913999795913696,157,4876,1
Matrix.js,,0.917063479601954,DynaMOSA,,true,0.3225806451612903,4,38,0.10526315789473684,24,107,0.22429906542056074,3,24,0.125,,,,0.3299999237060547,60.00499987602234,60.334999799728394,199,6176,1
Matrix.js,,0.917063479601954,DynaMOSA,,true,0.43548387096774194,8,38,0.21052631578947367,33,107,0.308411214953271,6,24,0.25,,,,0.27499985694885254,60.015000104904175,60.28999996185303,197,6114,1
Matrix.js,,0.917063479601954,DynaMOSA,,true,0.5806451612903226,8,38,0.21052631578947367,34,107,0.3177570093457944,8,24,0.3333333333333333,,,,0.3320000171661377,60.00699996948242,60.33899998664856,169,5242,1
Matrix.js,,0.917063479601954,DynaMOSA,,true,0.7419354838709677,10,38,0.2631578947368421,40,107,0.37383177570093457,10,24,0.4166666666666667,,,,0.437000036239624,60.01900005340576,60.456000089645386,140,4363,1
Matrix.js,,0.917063479601954,DynaMOSA,,true,1.1129032258064515,14,38,0.3684210526315789,47,107,0.4392523364485981,11,24,0.4583333333333333,,,,0.4630000591278076,60.02400016784668,60.48700022697449,122,3810,1
Matrix.js,,0.917063479601954,DynaMOSA,,true,1.2903225806451613,20,38,0.5263157894736842,55,107,0.514018691588785,13,24,0.5416666666666666,,,,2.821000099182129,60.15499997138977,62.9760000705719,18,583,1
Matrix.js,,0.917063479601954,DynaMOSA,,true,1.3387096774193548,22,38,0.5789473684210527,59,107,0.5514018691588785,14,24,0.5833333333333334,,,,0.48799991607666016,60.01300001144409,60.50099992752075,127,3957,1
Matrix.js,,0.917063479601954,DynaMOSA,,true,1.3870967741935485,24,38,0.631578947368421,63,107,0.5887850467289719,15,24,0.625,,,,0.4509999752044678,60.00500011444092,60.456000089645386,120,3736,1
Matrix.js,,0.917063479601954,DynaMOSA,,true,1.5806451612903225,27,38,0.7105263157894737,70,107,0.6542056074766355,16,24,0.6666666666666666,,,,0.4739999771118164,60.01899981498718,60.492999792099,111,3442,1
Matrix.js,,0.917063479601954,DynaMOSA,,true,1.7741935483870968,27,38,0.7105263157894737,71,107,0.6635514018691588,17,24,0.7083333333333334,,,,0.503000020980835,60.009000062942505,60.51200008392334,110,3417,1
Matrix.js,,0.917063479601954,DynaMOSA,,true,1.9193548387096775,28,38,0.7368421052631579,73,107,0.6822429906542056,18,24,0.75,,,,0.5429999828338623,60.01199984550476,60.55499982833862,104,3228,1
