TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,CountingSort.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.8,CountingSort.js,4,12,33.33,1,6,33.33,0,0,4,NaN,17,27,42.5
2.3,CountingSort.js,5,12,41.67,1,7,33.33,0,0,5,NaN,23,22,57.5
2.7,CountingSort.js,7,12,58.33,2,8,66.67,0,0,7,NaN,30,17,75
3.1,CountingSort.js,7,12,58.33,2,8,66.67,0,0,7,NaN,30,17,75
3.5,CountingSort.js,7,12,58.33,2,8,66.67,0,0,7,NaN,30,17,75
3.9,CountingSort.js,7,12,58.33,2,8,66.67,0,0,7,NaN,30,17,75
4.3,CountingSort.js,8,12,66.67,2,9,66.67,0,0,8,NaN,32,16,80
4.7,CountingSort.js,9,12,75,2,10,66.67,0,0,9,NaN,33,16,82.5
5.2,CountingSort.js,9,12,75,2,10,66.67,0,0,9,NaN,33,16,82.5
5.5,CountingSort.js,9,12,75,2,10,66.67,0,0,9,NaN,33,16,82.5
5.9,CountingSort.js,9,12,75,2,10,66.67,0,0,9,NaN,33,16,82.5
6.4,CountingSort.js,11,12,91.67,2,12,66.67,0,0,11,NaN,36,15,90
