TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,RedBlackTree.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.9,RedBlackTree.js,5,34,14.71,12,6,92.31,0,0,5,NaN,50,89,37.31
2.3,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
2.8,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
3.1,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
3.5,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
3.9,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
4.3,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,56,85,41.79
4.7,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,56,85,41.79
5,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,56,85,41.79
5.4,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,56,85,41.79
5.8,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,56,85,41.79
6.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
6.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
6.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
7.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
7.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
7.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
8.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
8.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
8.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
9.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
9.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
10,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
10.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
10.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
11.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
11.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
11.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
12.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
12.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
12.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
13.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
13.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
13.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
14.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
14.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
14.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
15.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
15.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
15.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
16.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
16.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
17,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
17.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
17.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
18,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
18.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
18.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
19.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
19.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
