TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,equalArrays.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.7,equalArrays.js,12,24,50,1,13,50,0,0,12,NaN,38,37,60.32
2.1,equalArrays.js,15,24,62.5,1,16,50,0,0,15,NaN,43,35,68.25
2.5,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,45,34,71.43
2.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,45,34,71.43
3.2,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,45,34,71.43
3.5,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,45,34,71.43
3.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,45,34,71.43
4.2,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
4.6,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
4.9,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
5.3,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
5.6,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
5.9,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
6.3,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
6.6,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
6.9,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
7.3,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
7.6,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
7.9,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
8.2,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
8.5,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
8.9,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
9.2,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
9.5,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
9.9,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
10.2,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
10.5,equalArrays.js,18,24,75,1,19,50,0,0,18,NaN,48,33,76.19
