TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,random.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.5,random.js,11,14,78.57,1,11,100,0,0,11,NaN,32,19,80
1.8,random.js,11,14,78.57,1,11,100,0,0,11,NaN,32,19,80
2,random.js,12,14,85.71,1,12,100,0,0,12,NaN,34,18,85
2.3,random.js,12,14,85.71,1,12,100,0,0,12,NaN,34,18,85
2.5,random.js,12,14,85.71,1,12,100,0,0,12,NaN,34,18,85
2.8,random.js,12,14,85.71,1,12,100,0,0,12,NaN,34,18,85
3,random.js,12,14,85.71,1,12,100,0,0,12,NaN,34,18,85
3.2,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
3.4,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
3.7,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
3.9,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
4.1,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
4.4,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
4.6,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
4.8,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
5,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
5.3,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
5.5,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
5.7,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
6,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
6.2,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
6.4,random.js,13,14,92.86,1,13,100,0,0,13,NaN,37,16,92.5
6.6,random.js,14,14,100,1,14,100,0,0,14,NaN,40,14,100
