SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
check-overflow.js,,0.3892754021436457,DynaMOSA,,true,0.2857142857142857,12,20,0.6,8,11,0.7272727272727273,1,1,1,,,,2.4650001525878906,60.00600004196167,62.47100019454956,205,6367,1
date-from-array.js,,0.3892754021436457,DynaMOSA,,true,0.5,4,8,0.5,6,14,0.42857142857142855,1,2,0.5,,,,0.3510000705718994,60.01100015640259,60.36200022697449,166,5158,1
date-from-array.js,,0.3892754021436457,DynaMOSA,,true,1,7,8,0.875,14,14,1,2,2,1,,,,0.2980000972747803,60.01400017738342,60.3120002746582,180,5602,1
from-anything.js,,0.3892754021436457,DynaMOSA,,true,0.3076923076923077,20,34,0.5882352941176471,37,56,0.6607142857142857,4,5,0.8,,,,0.5849997997283936,60.013999938964844,60.59899973869324,106,3300,1
from-anything.js,,0.3892754021436457,DynaMOSA,,true,0.6410256410256411,24,34,0.7058823529411765,45,56,0.8035714285714286,5,5,1,,,,0.44300007820129395,60.02300000190735,60.46600008010864,123,3825,1
from-array.js,,0.3892754021436457,DynaMOSA,,true,0.0851063829787234,2,52,0.038461538461538464,5,74,0.06756756756756757,2,5,0.4,,,,0.4960000514984131,60.00800013542175,60.504000186920166,109,3389,1
from-object.js,,0.3892754021436457,DynaMOSA,,true,0.5,2,4,0.5,6,7,0.8571428571428571,2,2,1,,,,0.5069999694824219,60.00500011444092,60.51200008392334,96,2990,1
from-string-and-array.js,,0.3892754021436457,DynaMOSA,,true,0.35294117647058826,5,16,0.3125,14,29,0.4827586206896552,1,1,1,,,,0.5699999332427979,60.00600004196167,60.57599997520447,98,3059,1
from-string-and-format.js,,0.3892754021436457,DynaMOSA,,true,0.3055555555555556,18,32,0.5625,36,56,0.6428571428571429,2,4,0.5,,,,0.5810000896453857,60.01899981498718,60.59999990463257,86,2677,1
from-string.js,,0.3892754021436457,DynaMOSA,,true,0.03508771929824561,1,50,0.02,6,96,0.0625,1,9,0.1111111111111111,,,,0.557999849319458,60.0939998626709,60.651999711990356,97,3035,1
from-string.js,,0.3892754021436457,DynaMOSA,,true,0.08771929824561403,2,50,0.04,10,96,0.10416666666666667,3,9,0.3333333333333333,,,,0.6619999408721924,60.01300001144409,60.674999952316284,89,2784,1
from-string.js,,0.3892754021436457,DynaMOSA,,true,0.2982456140350877,8,50,0.16,22,96,0.22916666666666666,5,9,0.5555555555555556,,,,0.6730000972747803,60.027000188827515,60.700000286102295,82,2570,1
parsing-flags.js,,0.3892754021436457,DynaMOSA,,true,1,1,2,0.5,4,4,1,2,2,1,,,,0.5409998893737793,0,0.5409998893737793,0,30,1
valid.js,,0.3892754021436457,DynaMOSA,,true,0.45454545454545453,1,8,0.125,4,16,0.25,1,3,0.3333333333333333,,,,0.6770000457763672,60.00099992752075,60.67799997329712,82,2572,1
valid.js,,0.3892754021436457,DynaMOSA,,true,1.0909090909090908,3,8,0.375,9,16,0.5625,2,3,0.6666666666666666,,,,0.5480000972747803,60.01799988746643,60.56599998474121,93,2902,1
