SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
add-subtract.js,,0.5079581985656464,DynaMOSA,,true,0.8823529411764706,10,14,0.7142857142857143,16,25,0.64,2,3,0.6666666666666666,,,,2.2100000381469727,60.01799988746643,62.2279999256134,200,6212,1
calendar.js,,0.5079581985656464,DynaMOSA,,true,0.2916666666666667,9,22,0.4090909090909091,2,17,0.11764705882352941,1,2,0.5,,,,0.3210000991821289,60.01100015640259,60.33200025558472,216,6705,1
calendar.js,,0.5079581985656464,DynaMOSA,,true,0.375,10,22,0.45454545454545453,5,17,0.29411764705882354,2,2,1,,,,0.30299997329711914,60.00200009346008,60.3050000667572,195,6054,1
compare.js,,0.5079581985656464,DynaMOSA,,true,0.08823529411764706,1,28,0.03571428571428571,1,30,0.03333333333333333,1,6,0.16666666666666666,,,,0.3919999599456787,60.001999855041504,60.39399981498718,161,4991,1
compare.js,,0.5079581985656464,DynaMOSA,,true,0.17647058823529413,2,28,0.07142857142857142,2,30,0.06666666666666667,2,6,0.3333333333333333,,,,0.36300015449523926,60.00999999046326,60.373000144958496,152,4730,1
compare.js,,0.5079581985656464,DynaMOSA,,true,0.23529411764705882,3,28,0.10714285714285714,3,30,0.1,3,6,0.5,,,,0.3960001468658447,60.008999824523926,60.40499997138977,134,4178,1
compare.js,,0.5079581985656464,DynaMOSA,,true,0.3235294117647059,4,28,0.14285714285714285,4,30,0.13333333333333333,4,6,0.6666666666666666,,,,0.43899989128112793,60.01199984550476,60.45099973678589,132,4113,1
compare.js,,0.5079581985656464,DynaMOSA,,true,0.35294117647058826,4,28,0.14285714285714285,5,30,0.16666666666666666,5,6,0.8333333333333334,,,,0.40799999237060547,60.00200009346008,60.41000008583069,133,4132,1
compare.js,,0.5079581985656464,DynaMOSA,,true,0.38235294117647056,4,28,0.14285714285714285,6,30,0.2,6,6,1,,,,0.46399998664855957,60.007999897003174,60.47199988365173,126,3917,1
constructor.js,,0.5079581985656464,DynaMOSA,,true,0.6666666666666666,16,32,0.5,18,39,0.46153846153846156,1,3,0.3333333333333333,,,,0.6189999580383301,60.02500009536743,60.64400005340576,88,2741,1
constructor.js,,0.5079581985656464,DynaMOSA,,true,1.3636363636363635,17,32,0.53125,20,39,0.5128205128205128,2,3,0.6666666666666666,,,,2.1660001277923584,60.00999999046326,62.176000118255615,114,3539,1
constructor.js,,0.5079581985656464,DynaMOSA,,true,1.393939393939394,17,32,0.53125,21,39,0.5384615384615384,3,3,1,,,,0.48600006103515625,60.015000104904175,60.50100016593933,112,3476,1
diff.js,,0.5079581985656464,DynaMOSA,,true,0.06451612903225806,0,12,0,1,36,0.027777777777777776,1,2,0.5,,,,0.5870001316070557,60.00999999046326,60.59700012207031,100,3129,1
format.js,,0.5079581985656464,DynaMOSA,,true,0.03333333333333333,0,26,0,3,30,0.1,1,4,0.25,,,,0.5710000991821289,60.00099992752075,60.57200002670288,101,3144,1
format.js,,0.5079581985656464,DynaMOSA,,true,0.06666666666666667,0,26,0,4,30,0.13333333333333333,2,4,0.5,,,,0.565000057220459,60.098999977111816,60.664000034332275,93,2900,1
format.js,,0.5079581985656464,DynaMOSA,,true,0.13333333333333333,0,26,0,5,30,0.16666666666666666,3,4,0.75,,,,0.7219998836517334,60.21199989318848,60.93399977684021,93,2884,1
format.js,,0.5079581985656464,DynaMOSA,,true,0.26666666666666666,2,26,0.07692307692307693,8,30,0.26666666666666666,4,4,1,,,,0.6470000743865967,60.00699996948242,60.65400004386902,88,2758,1
from.js,,0.5079581985656464,DynaMOSA,,true,0.5,0,2,0,1,4,0.25,1,2,0.5,,,,0.6620001792907715,60.015000104904175,60.677000284194946,82,2562,1
from.js,,0.5079581985656464,DynaMOSA,,true,0.75,0,2,0,2,4,0.5,2,2,1,,,,0.6490001678466797,60.00500011444092,60.6540002822876,84,2606,1
get-set.js,,0.5079581985656464,DynaMOSA,,true,0.09090909090909091,0,22,0,1,26,0.038461538461538464,1,6,0.16666666666666666,,,,0.6519999504089355,60.24600005149841,60.89800000190735,81,2527,1
get-set.js,,0.5079581985656464,DynaMOSA,,true,0.18181818181818182,2,22,0.09090909090909091,2,26,0.07692307692307693,2,6,0.3333333333333333,,,,0.7769999504089355,60.31699991226196,61.0939998626709,78,2422,1
get-set.js,,0.5079581985656464,DynaMOSA,,true,0.2727272727272727,2,22,0.09090909090909091,3,26,0.11538461538461539,3,6,0.5,,,,0.7780001163482666,60.0239999294281,60.80200004577637,75,2350,1
get-set.js,,0.5079581985656464,DynaMOSA,,true,0.3181818181818182,2,22,0.09090909090909091,5,26,0.19230769230769232,4,6,0.6666666666666666,,,,0.7030000686645508,60.0220000743866,60.72500014305115,75,2332,1
get-set.js,,0.5079581985656464,DynaMOSA,,true,0.5454545454545454,5,22,0.22727272727272727,13,26,0.5,5,6,0.8333333333333334,,,,0.7419998645782471,60.014999866485596,60.75699973106384,72,2236,1
locale.js,,0.5079581985656464,DynaMOSA,,true,0.1111111111111111,2,6,0.3333333333333333,5,11,0.45454545454545453,1,3,0.3333333333333333,,,,0.7790000438690186,60.026999950408936,60.805999994277954,71,2215,1
locale.js,,0.5079581985656464,DynaMOSA,,true,0.2222222222222222,2,6,0.3333333333333333,6,11,0.5454545454545454,2,3,0.6666666666666666,,,,0.7519998550415039,60.01700019836426,60.76900005340576,70,2195,1
min-max.js,,0.5079581985656464,DynaMOSA,,true,0.09523809523809523,2,16,0.125,7,23,0.30434782608695654,2,5,0.4,,,,0.8080000877380371,60.01300001144409,60.82100009918213,66,2049,1
min-max.js,,0.5079581985656464,DynaMOSA,,true,0.19047619047619047,2,16,0.125,9,23,0.391304347826087,3,5,0.6,,,,0.8270001411437988,60.009000062942505,60.836000204086304,60,1886,1
