TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,help.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.2,help.js,11,66,16.67,18,30,48.65,0,0,11,NaN,69,164,31.08
2.9,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
3.6,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
4.2,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
4.9,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
5.5,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
6.2,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
6.8,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
7.5,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
8.1,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
8.7,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
8.8,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
9.4,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
10,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
10.6,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
10.7,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
11.3,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
11.9,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
12.5,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
13.1,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
13.2,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
13.8,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
14.4,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
15,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
15.6,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
16.2,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
16.8,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
16.9,help.js,11,66,16.67,19,29,51.35,0,0,11,NaN,72,161,32.43
17.5,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,73,161,32.88
18.1,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,73,161,32.88
18.7,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,73,161,32.88
19.3,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,73,161,32.88
20,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,73,161,32.88
20.6,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,73,161,32.88
21.2,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,73,161,32.88
21.8,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,73,161,32.88
22.4,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,73,161,32.88
23,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,73,161,32.88
