TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,help.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.1,help.js,8,66,12.12,16,29,43.24,0,0,8,NaN,55,175,24.77
2.8,help.js,8,66,12.12,17,28,45.95,0,0,8,NaN,57,173,25.68
3.4,help.js,8,66,12.12,17,28,45.95,0,0,8,NaN,57,173,25.68
4,help.js,8,66,12.12,17,28,45.95,0,0,8,NaN,57,173,25.68
4.6,help.js,8,66,12.12,17,28,45.95,0,0,8,NaN,57,173,25.68
5.3,help.js,8,66,12.12,18,27,48.65,0,0,8,NaN,59,171,25.68
5.4,help.js,8,66,12.12,18,27,48.65,0,0,8,NaN,59,171,26.58
6,help.js,8,66,12.12,18,27,48.65,0,0,8,NaN,59,171,26.58
6.6,help.js,8,66,12.12,18,27,48.65,0,0,8,NaN,59,171,26.58
6.7,help.js,8,66,12.12,18,27,48.65,0,0,8,NaN,59,171,26.58
7.3,help.js,8,66,12.12,18,27,48.65,0,0,8,NaN,59,171,26.58
7.9,help.js,8,66,12.12,18,27,48.65,0,0,8,NaN,59,171,26.58
8.5,help.js,8,66,12.12,18,27,48.65,0,0,8,NaN,59,171,26.58
9.2,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
9.8,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
10.4,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
11,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
11.7,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
12.2,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
12.3,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
12.9,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
13.5,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
14.1,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
14.7,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
15.3,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
15.9,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
16.5,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
17.1,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
17.8,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
18.4,help.js,12,66,18.18,19,30,51.35,0,0,12,NaN,74,160,33.33
19,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
19.6,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
20.2,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
20.8,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
21.4,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
22.3,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
22.9,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
23.5,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
24.1,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
24.7,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
25.3,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
25.9,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
26.4,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
27,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
27.6,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
28.2,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
28.8,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
29.4,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
30,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
30.8,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
31.4,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
32,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
32.6,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
33.2,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
33.8,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
34.4,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
34.9,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
35,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
35.6,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
36.2,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
36.7,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
37.3,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
37.9,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
38.5,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
39.1,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
39.7,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
40.3,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
40.9,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
41.4,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
42.3,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
42.9,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
43.5,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
44.1,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
44.7,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
45.2,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
45.3,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
45.8,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
46.4,help.js,14,66,21.21,19,32,51.35,0,0,14,NaN,76,160,34.23
