TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,application.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
3.7,application.js,18,52,34.62,15,29,57.69,0,0,18,NaN,141,142,53.21
5.5,application.js,28,52,53.85,17,37,65.38,0,0,28,NaN,173,120,65.28
6.8,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,182,113,68.68
8.1,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,182,113,68.68
9.4,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,182,113,68.68
10.7,application.js,31,52,59.62,18,39,69.23,0,0,31,NaN,184,112,69.43
11.9,application.js,31,52,59.62,18,39,69.23,0,0,31,NaN,184,112,69.43
13.1,application.js,31,52,59.62,18,39,69.23,0,0,31,NaN,184,112,69.43
14.4,application.js,31,52,59.62,18,39,69.23,0,0,31,NaN,184,112,69.43
15.7,application.js,31,52,59.62,18,39,69.23,0,0,31,NaN,184,112,69.43
16.9,application.js,31,52,59.62,18,39,69.23,0,0,31,NaN,184,112,69.43
18.2,application.js,31,52,59.62,18,39,69.23,0,0,31,NaN,184,112,69.43
19.4,application.js,31,52,59.62,18,39,69.23,0,0,31,NaN,184,112,69.43
19.5,application.js,31,52,59.62,18,39,69.23,0,0,31,NaN,184,112,69.43
20.6,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,188,109,70.94
21.8,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,188,109,70.94
23,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,188,109,70.94
24.1,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,188,109,70.94
25.3,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,188,109,70.94
26.5,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,188,109,70.94
27.6,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,188,109,70.94
28.8,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
29.9,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
31,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
32.1,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
33.2,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
33.3,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
34.3,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
34.4,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
35.5,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
36.6,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
37.7,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
37.8,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
38.9,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
40,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
41.1,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
42.2,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
43.3,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
44.4,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
45.5,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
46.9,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
47,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
48.1,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
49.2,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
50.3,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
51.4,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
52.5,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
53.6,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
55,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
56.1,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
57.2,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
58.3,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
59.4,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
59.5,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
60.5,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
60.6,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
61.7,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
62.8,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
63.7,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,189,109,71.32
0,request.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
