SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
application.js,,0.5581491417776283,DynaMOSA,,true,0.627906976744186,33,52,0.6346153846153846,137,187,0.732620320855615,19,26,0.7307692307692307,,,,3.687000036239624,60.05999994277954,63.746999979019165,51,1606,1
request.js,,0.5581491417776283,DynaMOSA,,true,0.42028985507246375,11,44,0.25,62,109,0.5688073394495413,8,20,0.4,,,,1.3819999694824219,60.02999997138977,61.41199994087219,63,1976,1
response.js,,0.5581491417776283,DynaMOSA,,true,0.19823788546255505,25,174,0.14367816091954022,101,363,0.27823691460055094,12,41,0.2926829268292683,,,,9.02400016784668,60.230000019073486,69.25400018692017,9,282,1
utils.js,,0.5581491417776283,DynaMOSA,,true,0.045454545454545456,3,34,0.08823529411764706,3,76,0.039473684210526314,1,14,0.07142857142857142,,,,0.5940001010894775,60.01900005340576,60.61300015449524,108,3351,1
utils.js,,0.5581491417776283,DynaMOSA,,true,0.09090909090909091,4,34,0.11764705882352941,4,76,0.05263157894736842,2,14,0.14285714285714285,,,,0.48399996757507324,60.00999999046326,60.49399995803833,111,3468,1
utils.js,,0.5581491417776283,DynaMOSA,,true,0.18181818181818182,6,34,0.17647058823529413,8,76,0.10526315789473684,3,14,0.21428571428571427,,,,0.5149998664855957,60.00800013542175,60.52300000190735,107,3341,1
utils.js,,0.5581491417776283,DynaMOSA,,true,0.22727272727272727,8,34,0.23529411764705882,12,76,0.15789473684210525,4,14,0.2857142857142857,,,,0.5659999847412109,60.00600004196167,60.57200002670288,102,3176,1
utils.js,,0.5581491417776283,DynaMOSA,,true,0.2727272727272727,10,34,0.29411764705882354,16,76,0.21052631578947367,5,14,0.35714285714285715,,,,0.5440001487731934,60.01199984550476,60.555999994277954,99,3075,1
utils.js,,0.5581491417776283,DynaMOSA,,true,0.4393939393939394,18,34,0.5294117647058824,24,76,0.3157894736842105,6,14,0.42857142857142855,,,,0.5,60.01400017738342,60.51400017738342,113,3514,1
utils.js,,0.5581491417776283,DynaMOSA,,true,0.48484848484848486,20,34,0.5882352941176471,27,76,0.35526315789473684,7,14,0.5,,,,0.5950000286102295,60.00699996948242,60.60199999809265,89,2760,1
view.js,,0.5581491417776283,DynaMOSA,,true,0.08695652173913043,1,16,0.0625,7,56,0.125,1,5,0.2,,,,0.6420001983642578,60.01100015640259,60.653000354766846,84,2624,1
init.js,,0.5581491417776283,DynaMOSA,,true,0.5,0,2,0,1,11,0.09090909090909091,1,2,0.5,,,,0.5230000019073486,60.009000062942505,60.53200006484985,98,3045,1
query.js,,0.5581491417776283,DynaMOSA,,true,0.625,4,6,0.6666666666666666,8,16,0.5,1,2,0.5,,,,0.5839998722076416,60.01799988746643,60.60199975967407,92,2878,1
layer.js,,0.5581491417776283,DynaMOSA,,true,0.4838709677419355,11,22,0.5,33,63,0.5238095238095238,4,5,0.8,,,,0.876000165939331,60.01699995994568,60.89300012588501,58,1802,1
route.js,,0.5581491417776283,DynaMOSA,,true,0.2894736842105263,6,30,0.2,19,75,0.25333333333333335,5,8,0.625,,,,0.8980000019073486,60.037999868392944,60.93599987030029,63,1975,1
