TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,application.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
3.6,application.js,25,52,48.08,17,34,65.38,0,0,25,NaN,167,123,63.02
5.1,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
6.4,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
7.7,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
8.9,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
9,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
10.3,application.js,31,52,59.62,18,39,69.23,0,0,31,NaN,183,113,69.06
11.5,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
12.7,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
13.9,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
14,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
15.2,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
16.4,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
17.6,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
18.8,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
20,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
21.2,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
22.4,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
23.6,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
24.8,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
26,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
27.1,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
27.2,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
28.3,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
28.4,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
29.5,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
29.6,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
30.7,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
31.9,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
33.1,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
34.3,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
35.5,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
36.7,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
38,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
39.2,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
40.5,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
40.6,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
41.9,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
43.1,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
44.3,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
45.5,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
46.7,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
47.9,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
48,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
49.4,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
50.6,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
51.8,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
52.9,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
53,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
54.1,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
54.2,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
55.3,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
56.5,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
56.6,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
57.7,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
57.8,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
59.2,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
60.4,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
61.6,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,184,113,69.43
