SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
application.js,,0.38872983707925085,DynaMOSA,,true,0.627906976744186,34,52,0.6538461538461539,138,187,0.7379679144385026,19,26,0.7307692307692307,,,,3.7120001316070557,60.073999881744385,63.78600001335144,52,1637,1
request.js,,0.38872983707925085,DynaMOSA,,true,0.42028985507246375,12,44,0.2727272727272727,63,109,0.5779816513761468,8,20,0.4,,,,1.0360000133514404,60.03399991989136,61.0699999332428,63,1981,1
response.js,,0.38872983707925085,DynaMOSA,,true,0.19383259911894274,25,174,0.14367816091954022,103,363,0.2837465564738292,12,41,0.2926829268292683,,,,8.04699993133545,60.20300006866455,68.25,8,277,1
utils.js,,0.38872983707925085,DynaMOSA,,true,0.045454545454545456,3,34,0.08823529411764706,3,76,0.039473684210526314,1,14,0.07142857142857142,,,,0.9150002002716064,60.01300001144409,60.9280002117157,112,3479,1
utils.js,,0.38872983707925085,DynaMOSA,,true,0.09090909090909091,4,34,0.11764705882352941,4,76,0.05263157894736842,2,14,0.14285714285714285,,,,0.505000114440918,60.007999897003174,60.51300001144409,115,3590,1
utils.js,,0.38872983707925085,DynaMOSA,,true,0.18181818181818182,6,34,0.17647058823529413,8,76,0.10526315789473684,3,14,0.21428571428571427,,,,0.4980001449584961,60.00999999046326,60.50800013542175,110,3412,1
utils.js,,0.38872983707925085,DynaMOSA,,true,0.22727272727272727,8,34,0.23529411764705882,12,76,0.15789473684210525,4,14,0.2857142857142857,,,,0.5250000953674316,60.01799988746643,60.54299998283386,105,3263,1
utils.js,,0.38872983707925085,DynaMOSA,,true,0.2727272727272727,10,34,0.29411764705882354,16,76,0.21052631578947367,5,14,0.35714285714285715,,,,0.5559999942779541,60.01200008392334,60.568000078201294,99,3080,1
utils.js,,0.38872983707925085,DynaMOSA,,true,0.4393939393939394,18,34,0.5294117647058824,24,76,0.3157894736842105,6,14,0.42857142857142855,,,,0.4830000400543213,60.021000146865845,60.504000186920166,116,3606,1
utils.js,,0.38872983707925085,DynaMOSA,,true,0.48484848484848486,20,34,0.5882352941176471,27,76,0.35526315789473684,7,14,0.5,,,,0.6030001640319824,60.01699995994568,60.62000012397766,92,2852,1
view.js,,0.38872983707925085,DynaMOSA,,true,0.08695652173913043,1,16,0.0625,7,56,0.125,1,5,0.2,,,,0.629000186920166,60.00999999046326,60.63900017738342,85,2665,1
init.js,,0.38872983707925085,DynaMOSA,,true,0.5,0,2,0,1,11,0.09090909090909091,1,2,0.5,,,,0.5239999294281006,60.01799988746643,60.54199981689453,102,3165,1
query.js,,0.38872983707925085,DynaMOSA,,true,0.625,4,6,0.6666666666666666,8,16,0.5,1,2,0.5,,,,1.748999834060669,60.01899981498718,61.76799964904785,98,3052,1
layer.js,,0.38872983707925085,DynaMOSA,,true,0.4838709677419355,11,22,0.5,33,63,0.5238095238095238,4,5,0.8,,,,0.8959999084472656,60.03399991989136,60.92999982833862,60,1879,1
route.js,,0.38872983707925085,DynaMOSA,,true,0.2894736842105263,6,30,0.2,19,75,0.25333333333333335,5,8,0.625,,,,0.8580000400543213,60.0239999294281,60.88199996948242,65,2031,1
