SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
articulationPoints.js,,0.7123681565689411,DynaMOSA,,true,0.5,0,12,0,4,28,0.14285714285714285,1,7,0.14285714285714285,,,,1.5450000762939453,60.00399994850159,61.54900002479553,254,7896,1
bellmanFord.js,,0.7123681565689411,DynaMOSA,,true,0.1,0,6,0,3,18,0.16666666666666666,1,4,0.25,,,,0.3399999141693115,60.01300001144409,60.3529999256134,208,6454,1
breadthFirstSearch.js,,0.7123681565689411,DynaMOSA,,true,0.625,1,8,0.125,17,25,0.68,4,6,0.6666666666666666,,,,0.500999927520752,60.00399994850159,60.50499987602234,172,5337,1
graphBridges.js,,0.7123681565689411,DynaMOSA,,true,0.5,0,8,0,4,26,0.15384615384615385,1,7,0.14285714285714285,,,,0.3639998435974121,60.00100016593933,60.36500000953674,174,5410,1
depthFirstSearch.js,,0.7123681565689411,DynaMOSA,,true,0.7142857142857143,0,6,0,13,20,0.65,5,7,0.7142857142857143,,,,0.36100006103515625,60.00600004196167,60.367000102996826,146,4547,1
detectDirectedCycle.js,,0.7123681565689411,DynaMOSA,,true,0.5,0,8,0,6,30,0.2,1,5,0.2,,,,0.40600013732910156,60.00999999046326,60.41600012779236,145,4504,1
detectUndirectedCycle.js,,0.7123681565689411,DynaMOSA,,true,1,0,8,0,5,23,0.21739130434782608,1,3,0.3333333333333333,,,,0.47499990463256836,0,0.47499990463256836,0,30,1
detectUndirectedCycleUsingDisjointSet.js,,0.7123681565689411,DynaMOSA,,true,0.5,0,2,0,3,9,0.3333333333333333,1,4,0.25,,,,0.48200011253356934,60.01100015640259,60.49300026893616,129,4020,1
dijkstra.js,,0.7123681565689411,DynaMOSA,,true,0.15384615384615385,0,10,0,5,25,0.2,1,3,0.3333333333333333,,,,0.6019999980926514,60.00999999046326,60.61199998855591,122,3788,1
eulerianPath.js,,0.7123681565689411,DynaMOSA,,true,0.1111111111111111,0,14,0,5,36,0.1388888888888889,1,4,0.25,,,,0.5920000076293945,60.009000062942505,60.6010000705719,110,3425,1
floydWarshall.js,,0.7123681565689411,DynaMOSA,,true,0.07142857142857142,0,6,0,1,22,0.045454545454545456,1,8,0.125,,,,0.5779998302459717,60.013999938964844,60.591999769210815,104,3253,1
hamiltonianCycle.js,,0.7123681565689411,DynaMOSA,,true,0.0625,0,10,0,1,31,0.03225806451612903,1,6,0.16666666666666666,,,,0.5610001087188721,60.00499987602234,60.56599998474121,100,3113,1
kruskal.js,,0.7123681565689411,DynaMOSA,,true,0.2222222222222222,0,10,0,1,18,0.05555555555555555,1,4,0.25,,,,0.7279999256134033,60.01200008392334,60.74000000953674,96,2983,1
prim.js,,0.7123681565689411,DynaMOSA,,true,0.13333333333333333,1,12,0.08333333333333333,5,23,0.21739130434782608,1,3,0.3333333333333333,,,,0.5900001525878906,60.01699995994568,60.60700011253357,92,2867,1
stronglyConnectedComponents.js,,0.7123681565689411,DynaMOSA,,true,0.3,0,8,0,5,34,0.14705882352941177,2,10,0.2,,,,0.6410000324249268,60.007000207901,60.64800024032593,90,2814,1
topologicalSort.js,,0.7123681565689411,DynaMOSA,,true,0.5,0,2,0,2,15,0.13333333333333333,1,5,0.2,,,,0.6410000324249268,60.00699996948242,60.64800000190735,84,2611,1
bfTravellingSalesman.js,,0.7123681565689411,DynaMOSA,,true,0.0625,0,12,0,1,40,0.025,1,6,0.16666666666666666,,,,0.7929999828338623,60.003000020980835,60.7960000038147,80,2492,1
