SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
articulationPoints.js,,0.4512576009084267,DynaMOSA,,true,0.5,0,12,0,4,28,0.14285714285714285,1,7,0.14285714285714285,,,,1.5290000438690186,60.00399994850159,61.532999992370605,262,8125,1
bellmanFord.js,,0.4512576009084267,DynaMOSA,,true,0.1,0,6,0,3,18,0.16666666666666666,1,4,0.25,,,,0.315000057220459,60.00800013542175,60.32300019264221,212,6584,1
breadthFirstSearch.js,,0.4512576009084267,DynaMOSA,,true,0.625,2,8,0.25,17,25,0.68,4,6,0.6666666666666666,,,,0.4939999580383301,60.00999999046326,60.50399994850159,177,5511,1
graphBridges.js,,0.4512576009084267,DynaMOSA,,true,0.5,0,8,0,4,26,0.15384615384615385,1,7,0.14285714285714285,,,,0.35500001907348633,60.002999782562256,60.35799980163574,176,5457,1
depthFirstSearch.js,,0.4512576009084267,DynaMOSA,,true,0.7142857142857143,0,6,0,13,20,0.65,5,7,0.7142857142857143,,,,0.37199997901916504,60.014999866485596,60.38699984550476,150,4667,1
detectDirectedCycle.js,,0.4512576009084267,DynaMOSA,,true,0.5,0,8,0,6,30,0.2,1,5,0.2,,,,0.41699981689453125,60.007999897003174,60.424999713897705,147,4561,1
detectUndirectedCycle.js,,0.4512576009084267,DynaMOSA,,true,1,0,8,0,5,23,0.21739130434782608,1,3,0.3333333333333333,,,,0.4140000343322754,0,0.4140000343322754,0,30,1
detectUndirectedCycleUsingDisjointSet.js,,0.4512576009084267,DynaMOSA,,true,0.5,0,2,0,3,9,0.3333333333333333,1,4,0.25,,,,0.46199989318847656,60.00699996948242,60.4689998626709,139,4313,1
dijkstra.js,,0.4512576009084267,DynaMOSA,,true,0.15384615384615385,0,10,0,5,25,0.2,1,3,0.3333333333333333,,,,1.878000020980835,60.01100015640259,61.88900017738342,125,3883,1
eulerianPath.js,,0.4512576009084267,DynaMOSA,,true,0.1111111111111111,0,14,0,5,36,0.1388888888888889,1,4,0.25,,,,0.5710000991821289,60.007999897003174,60.5789999961853,115,3580,1
floydWarshall.js,,0.4512576009084267,DynaMOSA,,true,0.07142857142857142,0,6,0,1,22,0.045454545454545456,1,8,0.125,,,,0.5280001163482666,60.01300001144409,60.54100012779236,111,3443,1
hamiltonianCycle.js,,0.4512576009084267,DynaMOSA,,true,0.0625,0,10,0,1,31,0.03225806451612903,1,6,0.16666666666666666,,,,1.6760001182556152,60.00500011444092,61.68100023269653,110,3427,1
kruskal.js,,0.4512576009084267,DynaMOSA,,true,0.2222222222222222,1,10,0.1,4,18,0.2222222222222222,1,4,0.25,,,,0.6159999370574951,60.151000022888184,60.76699995994568,100,3106,1
prim.js,,0.4512576009084267,DynaMOSA,,true,0.13333333333333333,1,12,0.08333333333333333,5,23,0.21739130434782608,1,3,0.3333333333333333,,,,1.438999891281128,60.009000062942505,61.44799995422363,98,3038,1
stronglyConnectedComponents.js,,0.4512576009084267,DynaMOSA,,true,0.3,0,8,0,5,34,0.14705882352941177,2,10,0.2,,,,0.6510000228881836,60.00699996948242,60.657999992370605,91,2838,1
topologicalSort.js,,0.4512576009084267,DynaMOSA,,true,0.5,0,2,0,2,15,0.13333333333333333,1,5,0.2,,,,0.6170001029968262,60.01300001144409,60.63000011444092,89,2764,1
bfTravellingSalesman.js,,0.4512576009084267,DynaMOSA,,true,0.0625,0,12,0,1,40,0.025,1,6,0.16666666666666666,,,,0.7089998722076416,60.013999938964844,60.722999811172485,80,2482,1
