TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,articulationPoints.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
1.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
4.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
4.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
4.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
4.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
5.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
5.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
5.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
5.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
6.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
6.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
6.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
6.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
7.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
7.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
7.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
7.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
8.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
8.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
8.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
9.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
9.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
9.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
9.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
10.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
10.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
10.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
10.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
11.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
11.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
11.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
11.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
12.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
12.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
12.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
12.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
13.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
13.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
13.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
13.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
14.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
14.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
15.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
15.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
15.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
15.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
16.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
16.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
16.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
16.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
17,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
17.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
17.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
17.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
18,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
18.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
18.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
18.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
18.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
19.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
19.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
19.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
19.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
20.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
20.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
20.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
20.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
21.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
21.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
21.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
21.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
22.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
22.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
22.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
22.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
23.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
23.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
23.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
23.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
24.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
24.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
24.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
24.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
25.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
25.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
25.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
25.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
26.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
26.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
26.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
26.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
27,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
27.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
27.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
27.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
28,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
28.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
28.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
28.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
28.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
