TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,Matrix.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
2.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
2.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
3.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
3.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
4.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
4.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
5.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
5.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
6.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
6.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
7.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
7.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
7.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
8.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
8.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
9.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
9.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
9.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
10.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
10.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
11.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
11.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
11.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
12.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
12.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
13.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
13.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
13.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
14.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
14.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
14.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
14.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
15.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
15.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
16.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
16.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
16.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
17.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
17.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
18,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
18.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
18.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
19.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
19.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
20.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
20.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
21,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
21.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
21.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
22.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
22.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
22.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
23.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
23.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
24,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
24.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
24.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
25.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
25.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
25.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
26.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
26.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
27,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
27.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
27.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
28.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
28.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
29.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
29.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
29.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
30.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
30.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
31,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
31.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
31.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
32.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
32.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
33,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
33.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
33.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
34.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
34.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
34.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
35.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
35.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
36.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
36.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
36.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
37.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
37.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
37.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
38.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
38.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
39.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
39.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
39.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
40.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
40.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
40.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
40.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
41.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
41.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
42.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
42.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
43.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
43.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
43.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
44.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
44.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
45.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
45.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
