TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,CountingSort.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.7,CountingSort.js,5,12,41.67,2,6,66.67,0,0,5,NaN,17,28,42.5
2.1,CountingSort.js,5,12,41.67,2,6,66.67,0,0,5,NaN,17,28,42.5
2.5,CountingSort.js,5,12,41.67,2,6,66.67,0,0,5,NaN,17,28,42.5
2.9,CountingSort.js,8,12,66.67,3,8,100,0,0,8,NaN,34,14,85
3.3,CountingSort.js,9,12,75,3,9,100,0,0,9,NaN,36,13,90
3.7,CountingSort.js,9,12,75,3,9,100,0,0,9,NaN,36,13,90
4.1,CountingSort.js,9,12,75,3,9,100,0,0,9,NaN,36,13,90
4.4,CountingSort.js,9,12,75,3,9,100,0,0,9,NaN,36,13,90
4.7,CountingSort.js,9,12,75,3,9,100,0,0,9,NaN,36,13,90
5.1,CountingSort.js,9,12,75,3,9,100,0,0,9,NaN,36,13,90
5.5,CountingSort.js,9,12,75,3,9,100,0,0,9,NaN,36,13,90
5.8,CountingSort.js,9,12,75,3,9,100,0,0,9,NaN,36,13,90
6.2,CountingSort.js,10,12,83.33,3,10,100,0,0,10,NaN,38,12,95
