TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,CountingSort.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.8,CountingSort.js,3,12,25,1,5,33.33,0,0,3,NaN,10,33,25
2.2,CountingSort.js,6,12,50,2,7,66.67,0,0,6,NaN,18,28,45
2.6,CountingSort.js,6,12,50,2,7,66.67,0,0,6,NaN,18,28,45
3,CountingSort.js,6,12,50,2,7,66.67,0,0,6,NaN,18,28,45
3.4,CountingSort.js,6,12,50,2,7,66.67,0,0,6,NaN,18,28,45
3.8,CountingSort.js,10,12,83.33,3,10,100,0,0,10,NaN,37,13,92.5
4.2,CountingSort.js,10,12,83.33,3,10,100,0,0,10,NaN,37,13,92.5
4.6,CountingSort.js,10,12,83.33,3,10,100,0,0,10,NaN,37,13,92.5
4.9,CountingSort.js,10,12,83.33,3,10,100,0,0,10,NaN,37,13,92.5
5.3,CountingSort.js,10,12,83.33,3,10,100,0,0,10,NaN,37,13,92.5
5.7,CountingSort.js,11,12,91.67,3,11,100,0,0,11,NaN,39,12,97.5
