TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,RedBlackTree.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2,RedBlackTree.js,3,34,8.82,11,5,84.62,0,0,3,NaN,36,101,26.87
2.4,RedBlackTree.js,3,34,8.82,12,4,92.31,0,0,3,NaN,38,99,28.36
2.8,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
3.2,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
3.6,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
3.9,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
4.3,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
4.7,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
5.1,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
5.4,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
5.8,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
6.2,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
6.5,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
6.9,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
7.3,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
7.6,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
8,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
8.4,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
8.7,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
9.1,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
9.5,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
9.8,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
10.2,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
10.6,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
10.9,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
11.3,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
11.7,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
12.1,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
12.4,RedBlackTree.js,5,34,14.71,13,5,100,0,0,5,NaN,48,91,35.82
