SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
add-subtract.js,,0.35750746671626327,DynaMOSA,,true,0.23529411764705882,0,14,0,7,25,0.28,2,3,0.6666666666666666,,,,2.2809998989105225,60.01099991798401,62.29199981689453,211,6550,1
calendar.js,,0.35750746671626327,DynaMOSA,,true,0.041666666666666664,0,22,0,1,17,0.058823529411764705,1,2,0.5,,,,0.3469998836517334,60.001999855041504,60.34899973869324,197,6116,1
calendar.js,,0.35750746671626327,DynaMOSA,,true,0.125,1,22,0.045454545454545456,3,17,0.17647058823529413,2,2,1,,,,0.36700010299682617,60.00200009346008,60.36900019645691,178,5531,1
compare.js,,0.35750746671626327,DynaMOSA,,true,0.08823529411764706,1,28,0.03571428571428571,1,30,0.03333333333333333,1,6,0.16666666666666666,,,,0.45600008964538574,60.00699996948242,60.46300005912781,144,4492,1
compare.js,,0.35750746671626327,DynaMOSA,,true,0.17647058823529413,2,28,0.07142857142857142,2,30,0.06666666666666667,2,6,0.3333333333333333,,,,0.37400007247924805,60.007999897003174,60.38199996948242,138,4305,1
compare.js,,0.35750746671626327,DynaMOSA,,true,0.23529411764705882,3,28,0.10714285714285714,3,30,0.1,3,6,0.5,,,,0.41300010681152344,60.01300001144409,60.426000118255615,127,3966,1
compare.js,,0.35750746671626327,DynaMOSA,,true,0.29411764705882354,4,28,0.14285714285714285,4,30,0.13333333333333333,4,6,0.6666666666666666,,,,0.44700002670288086,60.00599980354309,60.45299983024597,126,3911,1
compare.js,,0.35750746671626327,DynaMOSA,,true,0.3235294117647059,4,28,0.14285714285714285,5,30,0.16666666666666666,5,6,0.8333333333333334,,,,0.440000057220459,60.01300001144409,60.45300006866455,121,3780,1
compare.js,,0.35750746671626327,DynaMOSA,,true,0.35294117647058826,4,28,0.14285714285714285,6,30,0.2,6,6,1,,,,0.48799991607666016,60.00099992752075,60.48899984359741,114,3547,1
constructor.js,,0.35750746671626327,DynaMOSA,,true,0.6666666666666666,11,32,0.34375,13,39,0.3333333333333333,1,3,0.3333333333333333,,,,0.4739999771118164,60.01200008392334,60.486000061035156,109,3404,1
constructor.js,,0.35750746671626327,DynaMOSA,,true,1.3636363636363635,12,32,0.375,15,39,0.38461538461538464,2,3,0.6666666666666666,,,,0.5160000324249268,60.01699995994568,60.532999992370605,104,3251,1
constructor.js,,0.35750746671626327,DynaMOSA,,true,1.393939393939394,12,32,0.375,16,39,0.41025641025641024,3,3,1,,,,0.48599982261657715,60.01300001144409,60.49899983406067,102,3189,1
diff.js,,0.35750746671626327,DynaMOSA,,true,0.06451612903225806,0,12,0,1,36,0.027777777777777776,1,2,0.5,,,,0.6089999675750732,60.01099991798401,60.61999988555908,90,2803,1
format.js,,0.35750746671626327,DynaMOSA,,true,0.03333333333333333,0,26,0,3,30,0.1,1,4,0.25,,,,0.625,60.003000020980835,60.628000020980835,93,2892,1
format.js,,0.35750746671626327,DynaMOSA,,true,0.06666666666666667,0,26,0,4,30,0.13333333333333333,2,4,0.5,,,,0.6210000514984131,60.01100015640259,60.632000207901,87,2727,1
format.js,,0.35750746671626327,DynaMOSA,,true,0.1,0,26,0,5,30,0.16666666666666666,3,4,0.75,,,,0.5990002155303955,60.01099991798401,60.610000133514404,85,2658,1
format.js,,0.35750746671626327,DynaMOSA,,true,0.23333333333333334,2,26,0.07692307692307693,8,30,0.26666666666666666,4,4,1,,,,0.6760001182556152,60.01699995994568,60.693000078201294,81,2525,1
from.js,,0.35750746671626327,DynaMOSA,,true,0.5,0,2,0,1,4,0.25,1,2,0.5,,,,0.7060000896453857,60.2039999961853,60.91000008583069,80,2495,1
from.js,,0.35750746671626327,DynaMOSA,,true,0.75,0,2,0,2,4,0.5,2,2,1,,,,0.8229999542236328,60.0220000743866,60.84500002861023,79,2479,1
get-set.js,,0.35750746671626327,DynaMOSA,,true,0.09090909090909091,0,22,0,1,26,0.038461538461538464,1,6,0.16666666666666666,,,,0.7809998989105225,60.019999980926514,60.800999879837036,73,2286,1
get-set.js,,0.35750746671626327,DynaMOSA,,true,0.18181818181818182,0,22,0,2,26,0.07692307692307693,2,6,0.3333333333333333,,,,0.7660000324249268,60.00399994850159,60.769999980926514,71,2225,1
get-set.js,,0.35750746671626327,DynaMOSA,,true,0.2727272727272727,0,22,0,3,26,0.11538461538461539,3,6,0.5,,,,0.7379999160766602,60.01299977302551,60.75099968910217,69,2143,1
get-set.js,,0.35750746671626327,DynaMOSA,,true,0.3181818181818182,0,22,0,5,26,0.19230769230769232,4,6,0.6666666666666666,,,,0.75,60.00999999046326,60.75999999046326,73,2286,1
get-set.js,,0.35750746671626327,DynaMOSA,,true,0.5454545454545454,3,22,0.13636363636363635,13,26,0.5,5,6,0.8333333333333334,,,,0.744999885559082,60.02199983596802,60.7669997215271,66,2052,1
locale.js,,0.35750746671626327,DynaMOSA,,true,0.1111111111111111,1,6,0.16666666666666666,3,11,0.2727272727272727,1,3,0.3333333333333333,,,,0.8409998416900635,60.01899981498718,60.859999656677246,66,2065,1
locale.js,,0.35750746671626327,DynaMOSA,,true,0.2222222222222222,1,6,0.16666666666666666,4,11,0.36363636363636365,2,3,0.6666666666666666,,,,0.7779998779296875,60.00500011444092,60.782999992370605,68,2114,1
min-max.js,,0.35750746671626327,DynaMOSA,,true,0.09523809523809523,2,16,0.125,7,23,0.30434782608695654,2,5,0.4,,,,2.6740000247955322,60.02499985694885,62.698999881744385,67,2089,1
min-max.js,,0.35750746671626327,DynaMOSA,,true,0.19047619047619047,2,16,0.125,9,23,0.391304347826087,3,5,0.6,,,,0.8020000457763672,60.01600003242493,60.818000078201294,68,2111,1
now.js,,0.35750746671626327,DynaMOSA,,true,1,1,2,0.5,2,2,1,1,1,1,,,,3.5839998722076416,0,3.5839998722076416,0,30,1
start-end-of.js,,0.35750746671626327,DynaMOSA,,true,0.031746031746031744,1,20,0.05,7,69,0.10144927536231885,1,5,0.2,,,,0.877000093460083,60.00500011444092,60.882000207901,61,1896,1
start-end-of.js,,0.35750746671626327,DynaMOSA,,true,0.06349206349206349,2,20,0.1,10,69,0.14492753623188406,2,5,0.4,,,,0.8589999675750732,60.00499987602234,60.86399984359741,62,1950,1
to-type.js,,0.35750746671626327,DynaMOSA,,true,0.125,0,2,0,1,8,0.125,1,6,0.16666666666666666,,,,0.9709999561309814,60.01100015640259,60.98200011253357,56,1746,1
to-type.js,,0.35750746671626327,DynaMOSA,,true,0.25,0,2,0,2,8,0.25,2,6,0.3333333333333333,,,,0.8929998874664307,60.30399990081787,61.1969997882843,56,1760,1
to-type.js,,0.35750746671626327,DynaMOSA,,true,0.375,0,2,0,3,8,0.375,3,6,0.5,,,,4.116000175476074,60.026000022888184,64.14200019836426,53,1666,1
to-type.js,,0.35750746671626327,DynaMOSA,,true,0.5,0,2,0,5,8,0.625,4,6,0.6666666666666666,,,,4.016999959945679,60.007999897003174,64.02499985694885,58,1801,1
to-type.js,,0.35750746671626327,DynaMOSA,,true,0.625,0,2,0,7,8,0.875,5,6,0.8333333333333334,,,,0.931999921798706,60.026999950408936,60.95899987220764,49,1535,1
to-type.js,,0.35750746671626327,DynaMOSA,,true,0.75,0,2,0,8,8,1,6,6,1,,,,0.9920001029968262,60.02499985694885,61.01699995994568,49,1531,1
to.js,,0.35750746671626327,DynaMOSA,,true,0.5,0,2,0,1,4,0.25,1,2,0.5,,,,1,60.2020001411438,61.2020001411438,47,1483,1
to.js,,0.35750746671626327,DynaMOSA,,true,0.75,0,2,0,2,4,0.5,2,2,1,,,,1.1719999313354492,60.02800011634827,61.200000047683716,50,1554,1
