SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
add-subtract.js,,0.4804115089529565,DynaMOSA,,true,0.23529411764705882,0,14,0,7,25,0.28,2,3,0.6666666666666666,,,,2.05400013923645,60.00999999046326,62.06400012969971,237,7350,1
calendar.js,,0.4804115089529565,DynaMOSA,,true,0.041666666666666664,0,22,0,1,17,0.058823529411764705,1,2,0.5,,,,0.3039999008178711,60.00600004196167,60.30999994277954,222,6907,1
calendar.js,,0.4804115089529565,DynaMOSA,,true,0.125,1,22,0.045454545454545456,3,17,0.17647058823529413,2,2,1,,,,0.28999996185302734,60.00699996948242,60.29699993133545,200,6200,1
compare.js,,0.4804115089529565,DynaMOSA,,true,0.08823529411764706,1,28,0.03571428571428571,1,30,0.03333333333333333,1,6,0.16666666666666666,,,,0.4119999408721924,60.00500011444092,60.41700005531311,164,5090,1
compare.js,,0.4804115089529565,DynaMOSA,,true,0.17647058823529413,2,28,0.07142857142857142,2,30,0.06666666666666667,2,6,0.3333333333333333,,,,0.3510000705718994,60.00999999046326,60.361000061035156,153,4759,1
compare.js,,0.4804115089529565,DynaMOSA,,true,0.23529411764705882,3,28,0.10714285714285714,3,30,0.1,3,6,0.5,,,,0.40000009536743164,60.00499987602234,60.40499997138977,136,4220,1
compare.js,,0.4804115089529565,DynaMOSA,,true,0.29411764705882354,4,28,0.14285714285714285,4,30,0.13333333333333333,4,6,0.6666666666666666,,,,0.3919999599456787,60.007999897003174,60.39999985694885,139,4330,1
compare.js,,0.4804115089529565,DynaMOSA,,true,0.3235294117647059,4,28,0.14285714285714285,5,30,0.16666666666666666,5,6,0.8333333333333334,,,,0.4030001163482666,60.00200009346008,60.40500020980835,136,4241,1
compare.js,,0.4804115089529565,DynaMOSA,,true,0.35294117647058826,4,28,0.14285714285714285,6,30,0.2,6,6,1,,,,0.41899991035461426,60.00399994850159,60.4229998588562,129,4024,1
constructor.js,,0.4804115089529565,DynaMOSA,,true,0.6666666666666666,11,32,0.34375,13,39,0.3333333333333333,1,3,0.3333333333333333,,,,0.4549999237060547,60.01300001144409,60.46799993515015,122,3793,1
constructor.js,,0.4804115089529565,DynaMOSA,,true,1.3636363636363635,12,32,0.375,15,39,0.38461538461538464,2,3,0.6666666666666666,,,,0.4720001220703125,60.40499997138977,60.87700009346008,113,3524,1
constructor.js,,0.4804115089529565,DynaMOSA,,true,1.393939393939394,12,32,0.375,16,39,0.41025641025641024,3,3,1,,,,0.4960000514984131,60.01100015640259,60.507000207901,117,3638,1
diff.js,,0.4804115089529565,DynaMOSA,,true,0.06451612903225806,0,12,0,1,36,0.027777777777777776,1,2,0.5,,,,0.5820000171661377,60.00399994850159,60.585999965667725,102,3178,1
format.js,,0.4804115089529565,DynaMOSA,,true,0.03333333333333333,0,26,0,3,30,0.1,1,4,0.25,,,,0.5639998912811279,60.015000104904175,60.5789999961853,104,3248,1
