TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,help.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.9,help.js,11,66,16.67,14,34,37.84,0,0,11,NaN,60,173,27.03
3.9,help.js,15,66,22.73,18,34,37.84,0,0,11,NaN,60,173,27.03
4,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,77,160,34.68
4.9,help.js,17,66,25.76,19,35,51.35,0,0,17,NaN,83,156,34.68
5,help.js,17,66,25.76,19,35,51.35,0,0,17,NaN,83,156,37.39
5.8,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,85,155,38.29
6.7,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,85,155,38.29
7.7,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,85,155,38.29
8.5,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,85,155,38.29
9.5,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,85,155,38.29
10.5,help.js,19,66,28.79,19,37,51.35,0,0,19,NaN,86,155,38.74
11.4,help.js,19,66,28.79,19,37,51.35,0,0,19,NaN,86,155,38.74
12.4,help.js,19,66,28.79,19,37,51.35,0,0,19,NaN,86,155,38.74
13.3,help.js,19,66,28.79,19,37,51.35,0,0,19,NaN,86,155,38.74
14.1,help.js,19,66,28.79,19,37,51.35,0,0,19,NaN,86,155,38.74
14.9,help.js,19,66,28.79,19,37,51.35,0,0,19,NaN,86,155,38.74
15.7,help.js,19,66,28.79,19,37,51.35,0,0,19,NaN,86,155,38.74
16.4,help.js,19,66,28.79,19,37,51.35,0,0,19,NaN,86,155,38.74
16.5,help.js,19,66,28.79,19,37,51.35,0,0,19,NaN,86,155,38.74
17.4,help.js,19,66,28.79,19,37,51.35,0,0,19,NaN,86,155,38.74
