TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,help.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
3.3,help.js,12,66,18.18,16,33,43.24,0,0,12,NaN,65,169,29.28
4.4,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
5.3,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
6.3,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
6.4,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
7.5,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
8.5,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
9.4,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
10.2,help.js,17,66,25.76,18,36,48.65,0,0,17,NaN,79,160,35.59
11.3,help.js,17,66,25.76,18,36,48.65,0,0,17,NaN,79,160,35.59
12.4,help.js,20,66,30.3,18,39,48.65,0,0,20,NaN,83,159,37.39
13.4,help.js,20,66,30.3,18,39,48.65,0,0,20,NaN,83,159,37.39
14.5,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
15.4,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
16.5,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
17.4,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
18.4,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
19.3,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
19.4,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
20.2,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
20.3,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
21.3,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
22.2,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
23.1,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
24,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
25,help.js,24,66,36.36,18,43,48.65,0,0,24,NaN,92,154,41.44
25.8,help.js,26,66,39.39,18,45,48.65,0,0,26,NaN,96,152,43.24
