TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,application.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
3.8,application.js,25,52,48.08,19,32,73.08,0,0,25,NaN,172,118,64.91
5.3,application.js,31,52,59.62,20,37,76.92,0,0,31,NaN,189,107,64.91
5.4,application.js,31,52,59.62,20,37,76.92,0,0,31,NaN,189,107,71.32
6.7,application.js,31,52,59.62,20,37,76.92,0,0,31,NaN,189,107,71.32
7.9,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
9.2,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
10.4,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
10.5,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
11.7,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
13,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
14.2,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
15.4,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
16.6,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
16.7,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
17.9,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
19.1,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
20.3,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
21.5,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
22.7,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
22.8,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
24,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
25.2,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
26.4,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
27.6,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
28.8,application.js,32,52,61.54,20,38,76.92,0,0,32,NaN,191,106,72.08
30,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
31.2,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
32.4,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
33.6,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
34.7,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
35.9,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
36,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
37.1,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
38.3,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
39.4,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
39.5,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
40.6,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
41.8,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
43,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
44.1,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
44.2,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
45.3,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
46.5,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
47.7,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
48.9,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
50,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
50.1,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
51.2,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
52.3,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
53.5,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
54.6,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
55.8,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
57,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
58.2,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
59.3,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
60.5,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
61.7,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
62.8,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
62.9,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
63.9,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,192,106,72.45
0,request.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
2,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
2.9,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
3,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
3.9,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
4.9,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
6.1,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
7.1,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
8.1,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
9,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
9.1,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
10,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
10.9,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
11,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
11.9,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
12.8,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
12.9,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
13.8,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
13.9,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
14.8,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
15.7,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
15.8,request.js,11,44,25,8,23,40,0,0,11,NaN,81,103,46.82
