SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
application.js,,0.09551156779439421,DynaMOSA,,true,0.6162790697674418,33,52,0.6346153846153846,139,187,0.7433155080213903,20,26,0.7692307692307693,,,,3.818000078201294,60.08200001716614,63.90000009536743,50,1566,1
request.js,,0.09551156779439421,DynaMOSA,,true,0.42028985507246375,11,44,0.25,62,109,0.5688073394495413,8,20,0.4,,,,1.0420000553131104,60.04299998283386,61.08500003814697,61,1910,1
response.js,,0.09551156779439421,DynaMOSA,,true,0.19823788546255505,25,174,0.14367816091954022,109,363,0.3002754820936639,12,41,0.2926829268292683,,,,7.853999853134155,60.30200004577637,68.15599989891052,8,270,1
utils.js,,0.09551156779439421,DynaMOSA,,true,0.045454545454545456,3,34,0.08823529411764706,3,76,0.039473684210526314,1,14,0.07142857142857142,,,,0.8940000534057617,60.007999897003174,60.901999950408936,119,3697,1
utils.js,,0.09551156779439421,DynaMOSA,,true,0.10606060606060606,5,34,0.14705882352941177,5,76,0.06578947368421052,3,14,0.21428571428571427,,,,0.6110000610351562,60.00600004196167,60.617000102996826,95,2968,1
utils.js,,0.09551156779439421,DynaMOSA,,true,0.19696969696969696,7,34,0.20588235294117646,9,76,0.11842105263157894,4,14,0.2857142857142857,,,,0.5,60.01200008392334,60.51200008392334,110,3426,1
utils.js,,0.09551156779439421,DynaMOSA,,true,0.24242424242424243,9,34,0.2647058823529412,13,76,0.17105263157894737,5,14,0.35714285714285715,,,,0.5120000839233398,60.00599980354309,60.51799988746643,108,3354,1
utils.js,,0.09551156779439421,DynaMOSA,,true,0.2878787878787879,11,34,0.3235294117647059,17,76,0.2236842105263158,6,14,0.42857142857142855,,,,0.5329999923706055,60.020999908447266,60.55399990081787,103,3208,1
utils.js,,0.09551156779439421,DynaMOSA,,true,0.45454545454545453,19,34,0.5588235294117647,25,76,0.32894736842105265,7,14,0.5,,,,0.4700000286102295,60.02499985694885,60.49499988555908,115,3590,1
utils.js,,0.09551156779439421,DynaMOSA,,true,0.5,21,34,0.6176470588235294,28,76,0.3684210526315789,8,14,0.5714285714285714,,,,0.5880000591278076,60.009000062942505,60.59700012207031,93,2897,1
view.js,,0.09551156779439421,DynaMOSA,,true,0.08695652173913043,1,16,0.0625,7,56,0.125,1,5,0.2,,,,0.621999979019165,60.01799988746643,60.639999866485596,88,2755,1
init.js,,0.09551156779439421,DynaMOSA,,true,0.5,0,2,0,1,11,0.09090909090909091,1,2,0.5,,,,0.5190000534057617,60.00999999046326,60.52900004386902,102,3187,1
query.js,,0.09551156779439421,DynaMOSA,,true,0.625,4,6,0.6666666666666666,8,16,0.5,1,2,0.5,,,,0.6170001029968262,60.01800012588501,60.635000228881836,98,3060,1
