TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,application.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
3.7,application.js,23,52,44.23,16,33,61.54,0,0,23,NaN,161,127,60.75
5.2,application.js,27,52,51.92,17,36,65.38,0,0,27,NaN,174,118,65.66
6.5,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,65.66
6.6,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
7.7,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
7.8,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
9,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
10.2,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
11.4,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
12.6,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
13.8,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
13.9,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
15,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
16.2,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
16.3,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
17.5,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
18.7,application.js,32,52,61.54,19,39,73.08,0,0,32,NaN,191,106,72.08
19.9,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,194,104,73.21
21.1,application.js,33,52,63.46,20,39,76.92,0,0,33,NaN,194,104,73.21
