SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
articulationPoints.js,,0.7674625429551792,DynaMOSA,,true,1,1,12,0.08333333333333333,12,28,0.42857142857142855,3,7,0.42857142857142855,,,,1.7330000400543213,4.835000038146973,6.568000078201294,17,557,1
bellmanFord.js,,0.7674625429551792,DynaMOSA,,true,0.5,2,6,0.3333333333333333,9,18,0.5,2,4,0.5,,,,0.377000093460083,60.00999999046326,60.38700008392334,177,5491,1
breadthFirstSearch.js,,0.7674625429551792,DynaMOSA,,true,0.875,2,8,0.25,21,25,0.84,6,6,1,,,,0.43000006675720215,60.00600004196167,60.43600010871887,178,5520,1
graphBridges.js,,0.7674625429551792,DynaMOSA,,true,1,0,8,0,10,26,0.38461538461538464,3,7,0.42857142857142855,,,,0.3529999256134033,3.942000150680542,4.295000076293945,12,402,1
depthFirstSearch.js,,0.7674625429551792,DynaMOSA,,true,0.7142857142857143,0,6,0,13,20,0.65,5,7,0.7142857142857143,,,,0.2990000247955322,60.01099991798401,60.30999994277954,181,5635,1
detectDirectedCycle.js,,0.7674625429551792,DynaMOSA,,true,1,3,8,0.375,17,30,0.5666666666666667,3,5,0.6,,,,0.3970000743865967,4.0320000648498535,4.42900013923645,11,371,1
detectUndirectedCycle.js,,0.7674625429551792,DynaMOSA,,true,1,0,8,0,5,23,0.21739130434782608,1,3,0.3333333333333333,,,,0.37800002098083496,0,0.37800002098083496,0,30,1
detectUndirectedCycleUsingDisjointSet.js,,0.7674625429551792,DynaMOSA,,true,0.8333333333333334,0,2,0,7,9,0.7777777777777778,2,4,0.5,,,,0.4070000648498535,60.009000062942505,60.41600012779236,149,4644,1
dijkstra.js,,0.7674625429551792,DynaMOSA,,true,0.38461538461538464,2,10,0.2,12,25,0.48,1,3,0.3333333333333333,,,,0.5540001392364502,60.00399994850159,60.55800008773804,119,3695,1
eulerianPath.js,,0.7674625429551792,DynaMOSA,,true,0.2222222222222222,3,14,0.21428571428571427,15,36,0.4166666666666667,1,4,0.25,,,,0.5520000457763672,60.01800012588501,60.57000017166138,121,3765,1
floydWarshall.js,,0.7674625429551792,DynaMOSA,,true,0.7857142857142857,4,6,0.6666666666666666,19,22,0.8636363636363636,8,8,1,,,,0.5039999485015869,60.00599980354309,60.50999975204468,115,3586,1
hamiltonianCycle.js,,0.7674625429551792,DynaMOSA,,true,0.1875,2,10,0.2,17,31,0.5483870967741935,4,6,0.6666666666666666,,,,0.5169999599456787,60.015000104904175,60.53200006484985,115,3583,1
kruskal.js,,0.7674625429551792,DynaMOSA,,true,0.5555555555555556,3,10,0.3,10,18,0.5555555555555556,1,4,0.25,,,,1.9130001068115234,60.010000228881836,61.92300033569336,106,3295,1
prim.js,,0.7674625429551792,DynaMOSA,,true,0.26666666666666666,2,12,0.16666666666666666,8,23,0.34782608695652173,1,3,0.3333333333333333,,,,0.5659999847412109,60.01200008392334,60.57800006866455,101,3149,1
stronglyConnectedComponents.js,,0.7674625429551792,DynaMOSA,,true,0.6,2,8,0.25,16,34,0.47058823529411764,3,10,0.3,,,,0.6519999504089355,60.00999999046326,60.66199994087219,87,2715,1
topologicalSort.js,,0.7674625429551792,DynaMOSA,,true,0.5,0,2,0,2,15,0.13333333333333333,1,5,0.2,,,,0.6150000095367432,60.00099992752075,60.615999937057495,92,2877,1
bfTravellingSalesman.js,,0.7674625429551792,DynaMOSA,,true,0.25,1,12,0.08333333333333333,9,40,0.225,3,6,0.5,,,,0.7230000495910645,60.01699995994568,60.74000000953674,85,2644,1
