TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,articulationPoints.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.8,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.5,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.5,articulationPoints.js,1,12,8.33,3,5,42.86,0,0,1,NaN,16,32,34.04
0,bellmanFord.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
0.5,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
0.8,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
1.2,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
1.6,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
1.9,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
2.3,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
2.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
3.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
3.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
3.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
4.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
4.5,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
4.8,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
5.2,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
5.5,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
5.9,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
6.2,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
6.5,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
6.9,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
7.2,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
7.6,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
8,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
8.3,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
8.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
9,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
9.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
9.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
10.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
10.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
10.8,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
11.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
11.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
11.8,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
12.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
12.5,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
12.8,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
13.2,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
13.5,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
13.9,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
14.2,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
14.6,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
14.9,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
15.3,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
15.6,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
16,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
16.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
16.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
17.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
18,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
18.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
18.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
19.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
19.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
19.8,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
20.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
20.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
20.8,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
21.2,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
21.5,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
21.9,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
22.2,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
22.6,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
22.9,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
23.3,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
23.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
24.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
24.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
24.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
25.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
25.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
25.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
26.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
26.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
26.8,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
27.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
27.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
27.8,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
28.2,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
28.6,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
28.9,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
29.3,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
29.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
30,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
30.3,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
30.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
31,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
31.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
31.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
32,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
32.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
32.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
33.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
33.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
33.7,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
34.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
34.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
34.8,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
35.1,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
35.5,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
