TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,RedBlackTree.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.2,RedBlackTree.js,5,34,14.71,11,7,84.62,0,0,5,NaN,41,98,30.6
2.8,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,56,86,41.79
3.3,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,56,86,41.79
3.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
4.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
4.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
5.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
5.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
6.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
6.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
7.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
7.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
8.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
8.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
9.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
9.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
10.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
10.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
10.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
11.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
11.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
12.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
12.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
13.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
13.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
13.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
14.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
14.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
15.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
15.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
16,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
16.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
16.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
17.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
17.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
18.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
18.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
19,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
19.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
19.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
20.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
20.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
21.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
21.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
22.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
23,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
23.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
23.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
24.3,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
24.7,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
25,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
25.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
25.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
26.2,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
26.6,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
26.7,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
27.1,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
27.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
27.9,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
28.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
28.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
29.2,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
29.6,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
30,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
30.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
30.9,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
31.2,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
31.3,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
31.7,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
32,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
32.5,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
