TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,RedBlackTree.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.3,RedBlackTree.js,6,34,17.65,12,7,92.31,0,0,6,NaN,50,90,37.31
2.8,RedBlackTree.js,6,34,17.65,12,7,92.31,0,0,6,NaN,50,90,37.31
3.3,RedBlackTree.js,7,34,20.59,12,8,92.31,0,0,7,NaN,53,88,39.55
3.9,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
4.3,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
4.8,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
5.3,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
5.8,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
6.2,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
6.7,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
7.1,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
7.5,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
8,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
8.4,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
8.9,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
9.3,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
9.8,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
10.2,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
10.7,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
11.2,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
11.6,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
12.1,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
12.5,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
13,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
13.5,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
14,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
14.4,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
14.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
15.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
15.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
16.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
16.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
17.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
17.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
18.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
18.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
19,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
19.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
19.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
19.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
20.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
20.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
21.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
22,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
22.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
23,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
23.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
23.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
24.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
24.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
24.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
25.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,59,84,44.03
25.6,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
26.1,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
26.5,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
26.9,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
27.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
27.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
28.3,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
28.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
29.2,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
29.7,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
30.1,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
30.5,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
31,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
31.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
31.9,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
32.3,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
33.1,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
33.5,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
34,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
34.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
34.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
35.2,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
35.6,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
36,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
36.5,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
36.9,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
37.3,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
37.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
38.2,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
38.7,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
39.1,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
39.5,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
40,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
40.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
40.9,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
41.3,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
41.7,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
42.2,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
42.6,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
43,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
43.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
43.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
44.2,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
44.7,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
45.1,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
45.5,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
45.9,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
46.3,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
46.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
47.1,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
47.2,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
47.6,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
48,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
48.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
49,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,68,76,50.75
