TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,hasPath.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
1.8,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
2.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
2.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
2.6,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
2.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
3.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
3.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
3.6,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
3.8,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
4.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
4.3,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
4.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
4.8,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
5.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
5.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
5.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
5.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
6.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
6.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
6.6,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
6.8,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
7.3,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
7.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
7.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
7.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
8.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
8.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
8.6,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
8.8,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
9.3,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
9.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
9.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
9.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
10.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
10.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
10.6,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
10.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
11.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
11.3,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
11.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
11.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
12,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
12.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
12.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
12.6,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
12.8,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
13.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
13.3,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
13.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
13.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
13.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
14.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
14.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
14.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
15.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
15.3,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
15.6,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
15.8,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
16,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
16.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
16.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
16.6,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
16.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
17.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
17.3,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
17.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
17.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
17.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
18,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
18.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
18.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
18.6,hasPath.js,7,8,87.5,1,7,100,0,0,7,NaN,21,9,91.3
