SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
add-subtract.js,,0.0976696255581883,DynaMOSA,,true,0.8823529411764706,10,14,0.7142857142857143,16,25,0.64,2,3,0.6666666666666666,,,,2.619000196456909,60.079999923706055,62.699000120162964,149,4634,1
calendar.js,,0.0976696255581883,DynaMOSA,,true,0.2916666666666667,7,22,0.3181818181818182,2,17,0.11764705882352941,1,2,0.5,,,,0.34399986267089844,60.00800013542175,60.35199999809265,198,6148,1
calendar.js,,0.0976696255581883,DynaMOSA,,true,0.375,8,22,0.36363636363636365,5,17,0.29411764705882354,2,2,1,,,,0.31800007820129395,60.002999782562256,60.32099986076355,175,5426,1
compare.js,,0.0976696255581883,DynaMOSA,,true,0.08823529411764706,1,28,0.03571428571428571,1,30,0.03333333333333333,1,6,0.16666666666666666,,,,0.43400001525878906,60.01300001144409,60.44700002670288,149,4628,1
compare.js,,0.0976696255581883,DynaMOSA,,true,0.17647058823529413,2,28,0.07142857142857142,2,30,0.06666666666666667,2,6,0.3333333333333333,,,,0.4119999408721924,60.00699996948242,60.418999910354614,144,4473,1
compare.js,,0.0976696255581883,DynaMOSA,,true,0.23529411764705882,3,28,0.10714285714285714,3,30,0.1,3,6,0.5,,,,0.48399996757507324,60.01200008392334,60.49600005149841,129,4028,1
compare.js,,0.0976696255581883,DynaMOSA,,true,0.3235294117647059,4,28,0.14285714285714285,4,30,0.13333333333333333,4,6,0.6666666666666666,,,,0.42999982833862305,60.00999999046326,60.43999981880188,124,3861,1
compare.js,,0.0976696255581883,DynaMOSA,,true,0.35294117647058826,4,28,0.14285714285714285,5,30,0.16666666666666666,5,6,0.8333333333333334,,,,0.440000057220459,60.01600003242493,60.456000089645386,126,3921,1
compare.js,,0.0976696255581883,DynaMOSA,,true,0.38235294117647056,4,28,0.14285714285714285,6,30,0.2,6,6,1,,,,0.4960000514984131,60.007999897003174,60.50399994850159,119,3697,1
constructor.js,,0.0976696255581883,DynaMOSA,,true,0.6666666666666666,16,32,0.5,18,39,0.46153846153846156,1,3,0.3333333333333333,,,,0.5999999046325684,60.00800013542175,60.60800004005432,95,2947,1
constructor.js,,0.0976696255581883,DynaMOSA,,true,1.3636363636363635,17,32,0.53125,20,39,0.5128205128205128,2,3,0.6666666666666666,,,,0.5699999332427979,60.01099991798401,60.58099985122681,97,3007,1
constructor.js,,0.0976696255581883,DynaMOSA,,true,1.393939393939394,17,32,0.53125,21,39,0.5384615384615384,3,3,1,,,,0.5149998664855957,60.00600004196167,60.520999908447266,103,3207,1
diff.js,,0.0976696255581883,DynaMOSA,,true,0.06451612903225806,0,12,0,1,36,0.027777777777777776,1,2,0.5,,,,0.6560001373291016,60.013999938964844,60.670000076293945,96,2981,1
format.js,,0.0976696255581883,DynaMOSA,,true,0.03333333333333333,0,26,0,3,30,0.1,1,4,0.25,,,,0.6110000610351562,60.31399989128113,60.924999952316284,93,2894,1
format.js,,0.0976696255581883,DynaMOSA,,true,0.06666666666666667,0,26,0,4,30,0.13333333333333333,2,4,0.5,,,,0.6329998970031738,60.17200016975403,60.8050000667572,92,2870,1
format.js,,0.0976696255581883,DynaMOSA,,true,0.13333333333333333,0,26,0,5,30,0.16666666666666666,3,4,0.75,,,,0.8369998931884766,60.00099992752075,60.83799982070923,88,2737,1
