TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,help.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.4,help.js,5,66,7.58,17,25,45.95,0,0,5,NaN,52,175,23.42
3.2,help.js,14,66,21.21,18,33,48.65,0,0,14,NaN,75,161,33.78
3.8,help.js,14,66,21.21,18,33,48.65,0,0,14,NaN,75,161,33.78
4.5,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
5.1,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
5.2,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
6,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
6.8,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
7.6,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
9,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
10.3,help.js,18,66,27.27,18,37,48.65,0,0,18,NaN,80,160,36.04
11.5,help.js,18,66,27.27,18,37,48.65,0,0,18,NaN,80,160,36.04
12.7,help.js,18,66,27.27,18,37,48.65,0,0,18,NaN,80,160,36.04
13.8,help.js,18,66,27.27,18,37,48.65,0,0,18,NaN,80,160,36.04
14.8,help.js,18,66,27.27,18,37,48.65,0,0,18,NaN,80,160,36.04
16.6,help.js,18,66,27.27,18,37,48.65,0,0,18,NaN,80,160,36.04
18.2,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,87,155,39.19
20,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,87,155,39.19
22.3,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,87,155,39.19
23.8,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,87,155,39.19
25.1,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,87,155,39.19
26.7,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,87,155,39.19
26.8,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,87,155,39.19
27.7,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,87,155,39.19
28.8,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,87,155,39.19
30.8,help.js,20,66,30.3,19,38,51.35,0,0,20,NaN,87,155,39.19
32.4,help.js,24,66,36.36,20,41,54.05,0,0,24,NaN,101,145,45.5
