TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,help.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.4,help.js,6,66,9.09,18,25,48.65,0,0,6,NaN,55,173,24.77
3.2,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
3.9,help.js,15,66,22.73,18,34,48.65,0,0,15,NaN,76,161,34.23
4.5,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
5.4,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
6.7,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
7.6,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
9.2,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
9.3,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
10.3,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
11.3,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
11.4,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
12.5,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
13.8,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
14.9,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
16.6,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
17.9,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
19.3,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
20.2,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
21,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
22.1,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
23.5,help.js,16,66,24.24,18,35,48.65,0,0,16,NaN,77,161,34.68
24.5,help.js,16,66,24.24,19,34,51.35,0,0,16,NaN,79,159,35.59
25.3,help.js,16,66,24.24,19,34,51.35,0,0,16,NaN,79,159,35.59
26.5,help.js,16,66,24.24,19,34,51.35,0,0,16,NaN,79,159,35.59
27.7,help.js,16,66,24.24,19,34,51.35,0,0,16,NaN,79,159,35.59
28.7,help.js,18,66,27.27,20,35,54.05,0,0,18,NaN,86,154,38.74
29.9,help.js,18,66,27.27,20,35,54.05,0,0,18,NaN,86,154,38.74
32,help.js,18,66,27.27,20,35,54.05,0,0,18,NaN,86,154,38.74
33.9,help.js,21,66,31.82,21,37,56.76,0,0,21,NaN,91,152,38.74
34,help.js,21,66,31.82,21,37,56.76,0,0,21,NaN,91,152,40.99
36,help.js,21,66,31.82,21,37,56.76,0,0,21,NaN,91,152,40.99
37.5,help.js,21,66,31.82,21,37,56.76,0,0,21,NaN,91,152,40.99
37.6,help.js,21,66,31.82,21,37,56.76,0,0,21,NaN,91,152,40.99
38.8,help.js,21,66,31.82,21,37,56.76,0,0,21,NaN,91,152,40.99
40.3,help.js,21,66,31.82,21,37,56.76,0,0,21,NaN,91,152,40.99
41.6,help.js,21,66,31.82,21,37,56.76,0,0,21,NaN,91,152,40.99
42.9,help.js,21,66,31.82,21,37,56.76,0,0,21,NaN,91,152,40.99
44.2,help.js,21,66,31.82,21,37,56.76,0,0,21,NaN,91,152,40.99
45.3,help.js,23,66,34.85,21,39,56.76,0,0,23,NaN,96,149,43.24
46.2,help.js,23,66,34.85,21,39,56.76,0,0,23,NaN,96,149,43.24
47.6,help.js,23,66,34.85,21,39,56.76,0,0,23,NaN,96,149,43.24
49,help.js,23,66,34.85,21,39,56.76,0,0,23,NaN,96,149,43.24
50.3,help.js,23,66,34.85,21,39,56.76,0,0,23,NaN,96,149,43.24
51.3,help.js,23,66,34.85,21,39,56.76,0,0,23,NaN,96,149,43.24
52.6,help.js,23,66,34.85,21,39,56.76,0,0,23,NaN,96,149,43.24
52.7,help.js,23,66,34.85,21,39,56.76,0,0,23,NaN,96,149,43.24
53.8,help.js,27,66,40.91,21,43,56.76,0,0,27,NaN,109,140,49.1
54.9,help.js,27,66,40.91,21,43,56.76,0,0,27,NaN,109,140,49.1
56.2,help.js,27,66,40.91,21,43,56.76,0,0,27,NaN,109,140,49.1
58,help.js,27,66,40.91,21,43,56.76,0,0,27,NaN,109,140,49.1
59.3,help.js,27,66,40.91,21,43,56.76,0,0,27,NaN,109,140,49.1
60.6,help.js,27,66,40.91,21,43,56.76,0,0,27,NaN,109,140,49.1
60.7,help.js,27,66,40.91,21,43,56.76,0,0,27,NaN,109,140,49.1
62,help.js,30,66,45.45,21,46,56.76,0,0,30,NaN,113,139,50.9
62.7,help.js,30,66,45.45,21,46,56.76,0,0,30,NaN,113,139,50.9
0,option.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
0.4,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
0.7,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
1.1,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
1.4,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
1.8,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
2.2,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
2.5,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
2.9,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
3.3,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
3.7,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
4.1,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
4.5,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
4.8,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
4.9,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
5.2,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
5.6,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
6.3,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
6.6,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
7,option.js,6,18,33.33,13,8,86.67,0,0,6,NaN,64,32,71.11
