TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,application.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
3.7,application.js,25,52,48.08,17,34,65.38,0,0,25,NaN,169,121,63.77
5.1,application.js,28,52,53.85,18,36,69.23,0,0,28,NaN,178,115,67.17
6.5,application.js,29,52,55.77,18,37,69.23,0,0,29,NaN,179,115,67.55
7.8,application.js,29,52,55.77,18,37,69.23,0,0,29,NaN,179,115,67.55
7.9,application.js,29,52,55.77,18,37,69.23,0,0,29,NaN,179,115,67.55
9.1,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
10.4,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
11.6,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
12.9,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
14.1,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
14.2,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
15.4,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
16.7,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
17.9,application.js,30,52,57.69,18,38,69.23,0,0,30,NaN,181,114,68.3
19.3,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
20.5,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
21.8,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
23,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
24.3,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
25.5,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
26.7,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
27.9,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
28,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
29.2,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
30.4,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
30.5,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
31.7,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
33,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
34.2,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
35.4,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
35.5,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
36.7,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
37.9,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
39.2,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
40.5,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
41.6,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
41.7,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
42.8,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
44,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
45.1,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
45.2,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
46.3,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
47.5,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
48.7,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
49.9,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
51,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
51.1,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
52.2,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
53.4,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
54.6,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
55.8,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
57,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
58.5,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
59.7,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
60.9,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
62.1,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
63.3,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
63.7,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
63.8,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
0,request.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.3,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
2.3,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
2.4,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
3.3,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
4.2,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
5.2,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
6.1,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
7.1,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
8,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
9,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
9.9,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
10.8,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
11.7,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
12.6,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
13.9,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
14.8,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
15.8,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
16.7,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
17.7,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
18.6,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
19.5,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
19.6,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
20.5,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
21.4,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
22.3,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
22.4,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
23.3,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
24.3,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
25.2,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
26.5,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
27.4,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
28.3,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
29.2,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
29.3,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
30.2,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
31.1,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
32,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
32.1,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
33,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
34,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
34.9,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
35.8,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
35.9,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
36.7,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
36.8,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
37.7,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
38.6,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
39.9,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
40.8,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
41.8,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
42.7,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
43.6,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
44.6,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
45.5,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
46.4,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
47.3,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
48.3,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
49.2,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
50.1,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
51,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
51.9,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
52,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
53.2,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
54.1,request.js,12,44,27.27,9,23,45,0,0,12,NaN,86,99,49.71
