SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
application.js,,0.36381654756913967,DynaMOSA,,true,0.6162790697674418,33,52,0.6346153846153846,136,187,0.7272727272727273,18,26,0.6923076923076923,,,,3.683000087738037,60.08200001716614,63.765000104904175,49,1530,1
request.js,,0.36381654756913967,DynaMOSA,,true,0.42028985507246375,12,44,0.2727272727272727,65,109,0.5963302752293578,9,20,0.45,,,,1.3020000457763672,60.051000118255615,61.35300016403198,63,1972,1
response.js,,0.36381654756913967,DynaMOSA,,true,0.19383259911894274,24,174,0.13793103448275862,106,363,0.29201101928374656,14,41,0.34146341463414637,,,,9.429999828338623,60.23099994659424,69.66099977493286,8,277,1
utils.js,,0.36381654756913967,DynaMOSA,,true,0.045454545454545456,2,34,0.058823529411764705,3,76,0.039473684210526314,1,14,0.07142857142857142,,,,0.5420000553131104,60.01300001144409,60.5550000667572,117,3646,1
utils.js,,0.36381654756913967,DynaMOSA,,true,0.10606060606060606,4,34,0.11764705882352941,5,76,0.06578947368421052,3,14,0.21428571428571427,,,,0.6449999809265137,60.026000022888184,60.6710000038147,89,2766,1
utils.js,,0.36381654756913967,DynaMOSA,,true,0.19696969696969696,6,34,0.17647058823529413,9,76,0.11842105263157894,4,14,0.2857142857142857,,,,0.5470001697540283,60.007999897003174,60.5550000667572,104,3246,1
utils.js,,0.36381654756913967,DynaMOSA,,true,0.24242424242424243,8,34,0.23529411764705882,13,76,0.17105263157894737,5,14,0.35714285714285715,,,,0.5739998817443848,60.01600003242493,60.58999991416931,104,3237,1
utils.js,,0.36381654756913967,DynaMOSA,,true,0.2878787878787879,10,34,0.29411764705882354,17,76,0.2236842105263158,6,14,0.42857142857142855,,,,0.5509998798370361,60.013999938964844,60.56499981880188,97,3025,1
utils.js,,0.36381654756913967,DynaMOSA,,true,0.45454545454545453,18,34,0.5294117647058824,25,76,0.32894736842105265,7,14,0.5,,,,1.2829999923706055,60.62899994850159,61.91199994087219,113,3530,1
utils.js,,0.36381654756913967,DynaMOSA,,true,0.5,20,34,0.5882352941176471,28,76,0.3684210526315789,8,14,0.5714285714285714,,,,0.6129999160766602,60.01699995994568,60.62999987602234,92,2877,1
view.js,,0.36381654756913967,DynaMOSA,,true,0.08695652173913043,1,16,0.0625,7,56,0.125,1,5,0.2,,,,0.6880002021789551,60.00600004196167,60.694000244140625,80,2507,1
init.js,,0.36381654756913967,DynaMOSA,,true,0.5,0,2,0,1,11,0.09090909090909091,1,2,0.5,,,,1.75600004196167,60.00699996948242,61.76300001144409,97,3022,1
query.js,,0.36381654756913967,DynaMOSA,,true,0.625,4,6,0.6666666666666666,8,16,0.5,1,2,0.5,,,,0.5479998588562012,60.222999811172485,60.77099967002869,95,2948,1
layer.js,,0.36381654756913967,DynaMOSA,,true,0.41935483870967744,9,22,0.4090909090909091,27,63,0.42857142857142855,4,5,0.8,,,,1.6089999675750732,60.026999950408936,61.63599991798401,63,1973,1
route.js,,0.36381654756913967,DynaMOSA,,true,0.2894736842105263,6,30,0.2,19,75,0.25333333333333335,5,8,0.625,,,,0.8259999752044678,60.04299998283386,60.86899995803833,65,2031,1
