TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,application.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
3.8,application.js,12,52,23.08,9,29,34.62,0,0,12,NaN,100,177,37.74
5.5,application.js,14,52,26.92,10,30,38.46,0,0,14,NaN,105,174,37.74
5.6,application.js,14,52,26.92,10,30,38.46,0,0,14,NaN,105,174,39.62
7.7,application.js,22,52,42.31,16,32,61.54,0,0,22,NaN,157,130,59.25
9.2,application.js,24,52,46.15,17,33,65.38,0,0,24,NaN,166,123,62.64
10.6,application.js,25,52,48.08,17,34,65.38,0,0,25,NaN,168,122,63.4
11.9,application.js,28,52,53.85,19,35,73.08,0,0,28,NaN,180,113,67.92
13.1,application.js,28,52,53.85,19,35,73.08,0,0,28,NaN,180,113,67.92
14.4,application.js,30,52,57.69,19,37,73.08,0,0,30,NaN,185,110,69.81
15.7,application.js,30,52,57.69,19,37,73.08,0,0,30,NaN,185,110,69.81
16.9,application.js,30,52,57.69,19,37,73.08,0,0,30,NaN,185,110,69.81
18.2,application.js,30,52,57.69,19,37,73.08,0,0,30,NaN,185,110,69.81
19.5,application.js,30,52,57.69,19,37,73.08,0,0,30,NaN,185,110,69.81
20.7,application.js,30,52,57.69,19,37,73.08,0,0,30,NaN,185,110,69.81
22,application.js,30,52,57.69,19,37,73.08,0,0,30,NaN,185,110,69.81
23.2,application.js,30,52,57.69,19,37,73.08,0,0,30,NaN,185,110,69.81
23.3,application.js,30,52,57.69,19,37,73.08,0,0,30,NaN,185,110,69.81
24.5,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,186,110,70.19
25.7,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,186,110,70.19
26.9,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,186,110,70.19
28.1,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,186,110,70.19
29.3,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,186,110,70.19
30.4,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,186,110,70.19
31.6,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,186,110,70.19
