SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
application.js,,0.9247874472378658,DynaMOSA,,true,0.6162790697674418,33,52,0.6346153846153846,137,187,0.732620320855615,19,26,0.7307692307692307,,,,3.6670000553131104,60.05900001525879,63.7260000705719,49,1522,1
request.js,,0.9247874472378658,DynaMOSA,,true,0.42028985507246375,12,44,0.2727272727272727,63,109,0.5779816513761468,8,20,0.4,,,,1.3940000534057617,60.0460000038147,61.44000005722046,62,1940,1
response.js,,0.9247874472378658,DynaMOSA,,true,0.19383259911894274,24,174,0.13793103448275862,103,363,0.2837465564738292,14,41,0.34146341463414637,,,,8.431999921798706,60.151999950408936,68.58399987220764,8,257,1
utils.js,,0.9247874472378658,DynaMOSA,,true,0.045454545454545456,3,34,0.08823529411764706,3,76,0.039473684210526314,1,14,0.07142857142857142,,,,0.5570001602172852,60.00999999046326,60.56700015068054,117,3632,1
utils.js,,0.9247874472378658,DynaMOSA,,true,0.10606060606060606,5,34,0.14705882352941177,5,76,0.06578947368421052,3,14,0.21428571428571427,,,,0.6230001449584961,60.009000062942505,60.632000207901,92,2875,1
utils.js,,0.9247874472378658,DynaMOSA,,true,0.19696969696969696,7,34,0.20588235294117646,9,76,0.11842105263157894,4,14,0.2857142857142857,,,,1.1069998741149902,60.015000104904175,61.121999979019165,108,3376,1
utils.js,,0.9247874472378658,DynaMOSA,,true,0.24242424242424243,9,34,0.2647058823529412,13,76,0.17105263157894737,5,14,0.35714285714285715,,,,0.5239999294281006,60.01900005340576,60.54299998283386,103,3194,1
utils.js,,0.9247874472378658,DynaMOSA,,true,0.2878787878787879,11,34,0.3235294117647059,17,76,0.2236842105263158,6,14,0.42857142857142855,,,,0.5420000553131104,60.00600004196167,60.54800009727478,100,3105,1
utils.js,,0.9247874472378658,DynaMOSA,,true,0.45454545454545453,19,34,0.5588235294117647,25,76,0.32894736842105265,7,14,0.5,,,,1.3310000896453857,60.021000146865845,61.35200023651123,114,3561,1
utils.js,,0.9247874472378658,DynaMOSA,,true,0.5,21,34,0.6176470588235294,28,76,0.3684210526315789,8,14,0.5714285714285714,,,,1.5759999752044678,60.02400016784668,61.60000014305115,91,2827,1
view.js,,0.9247874472378658,DynaMOSA,,true,0.08695652173913043,1,16,0.0625,7,56,0.125,1,5,0.2,,,,0.6989998817443848,60.019999980926514,60.7189998626709,81,2528,1
init.js,,0.9247874472378658,DynaMOSA,,true,0.5,0,2,0,1,11,0.09090909090909091,1,2,0.5,,,,0.5290000438690186,60.01400017738342,60.54300022125244,100,3104,1
query.js,,0.9247874472378658,DynaMOSA,,true,0.625,4,6,0.6666666666666666,8,16,0.5,1,2,0.5,,,,0.5529999732971191,60.008999824523926,60.561999797821045,94,2919,1
layer.js,,0.9247874472378658,DynaMOSA,,true,0.41935483870967744,10,22,0.45454545454545453,30,63,0.47619047619047616,4,5,0.8,,,,0.804999828338623,60.03400015830994,60.83899998664856,61,1919,1
route.js,,0.9247874472378658,DynaMOSA,,true,0.2894736842105263,6,30,0.2,19,75,0.25333333333333335,5,8,0.625,,,,0.8149998188018799,60.039000034332275,60.853999853134155,67,2101,1
