SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
articulationPoints.js,,0.26304951651284253,DynaMOSA,,true,1,1,12,0.08333333333333333,12,28,0.42857142857142855,3,7,0.42857142857142855,,,,1.7269999980926514,2.494000196456909,4.2210001945495605,8,278,1
bellmanFord.js,,0.26304951651284253,DynaMOSA,,true,0.5,2,6,0.3333333333333333,9,18,0.5,2,4,0.5,,,,0.4090001583099365,60.007999897003174,60.41700005531311,124,3843,1
breadthFirstSearch.js,,0.26304951651284253,DynaMOSA,,true,0.875,3,8,0.375,21,25,0.84,6,6,1,,,,0.45399999618530273,60.00999999046326,60.46399998664856,148,4597,1
graphBridges.js,,0.26304951651284253,DynaMOSA,,true,1,0,8,0,10,26,0.38461538461538464,3,7,0.42857142857142855,,,,0.33899998664855957,2.9049999713897705,3.24399995803833,9,309,1
depthFirstSearch.js,,0.26304951651284253,DynaMOSA,,true,0.7142857142857143,0,6,0,13,20,0.65,5,7,0.7142857142857143,,,,0.3250000476837158,60.00999999046326,60.33500003814697,177,5505,1
detectDirectedCycle.js,,0.26304951651284253,DynaMOSA,,true,1,3,8,0.375,17,30,0.5666666666666667,3,5,0.6,,,,0.3640000820159912,0.8280000686645508,1.192000150680542,2,92,1
detectUndirectedCycle.js,,0.26304951651284253,DynaMOSA,,true,1,0,8,0,7,23,0.30434782608695654,2,3,0.6666666666666666,,,,0.367999792098999,0,0.367999792098999,0,30,1
detectUndirectedCycleUsingDisjointSet.js,,0.26304951651284253,DynaMOSA,,true,0.6666666666666666,0,2,0,5,9,0.5555555555555556,3,4,0.75,,,,0.39800000190734863,60.10000014305115,60.498000144958496,99,3068,1
dijkstra.js,,0.26304951651284253,DynaMOSA,,true,0.46153846153846156,2,10,0.2,13,25,0.52,2,3,0.6666666666666666,,,,0.5390000343322754,60.00200009346008,60.54100012779236,86,2696,1
eulerianPath.js,,0.26304951651284253,DynaMOSA,,true,0.2777777777777778,5,14,0.35714285714285715,18,36,0.5,2,4,0.5,,,,0.5859999656677246,60.01899981498718,60.60499978065491,92,2862,1
floydWarshall.js,,0.26304951651284253,DynaMOSA,,true,0.7857142857142857,4,6,0.6666666666666666,18,22,0.8181818181818182,8,8,1,,,,0.564000129699707,60.01199984550476,60.57599997520447,87,2705,1
hamiltonianCycle.js,,0.26304951651284253,DynaMOSA,,true,0.125,0,10,0,8,31,0.25806451612903225,3,6,0.5,,,,1.7099997997283936,60.02000021934509,61.730000019073486,87,2697,1
kruskal.js,,0.26304951651284253,DynaMOSA,,true,0.5555555555555556,2,10,0.2,8,18,0.4444444444444444,1,4,0.25,,,,1.7309999465942383,60.020999908447266,61.751999855041504,94,2913,1
prim.js,,0.26304951651284253,DynaMOSA,,true,0.26666666666666666,2,12,0.16666666666666666,8,23,0.34782608695652173,1,3,0.3333333333333333,,,,0.5920000076293945,60.00399994850159,60.59599995613098,92,2860,1
stronglyConnectedComponents.js,,0.26304951651284253,DynaMOSA,,true,0.6,2,8,0.25,16,34,0.47058823529411764,3,10,0.3,,,,0.5690000057220459,60.00600004196167,60.575000047683716,78,2436,1
topologicalSort.js,,0.26304951651284253,DynaMOSA,,true,0.5,0,2,0,3,15,0.2,2,5,0.4,,,,0.5499999523162842,60.18499994277954,60.734999895095825,73,2281,1
bfTravellingSalesman.js,,0.26304951651284253,DynaMOSA,,true,0.4375,3,12,0.25,22,40,0.55,4,6,0.6666666666666666,,,,0.879000186920166,60.01600003242493,60.89500021934509,72,2244,1
