SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
articulationPoints.js,,0.015301993350018236,DynaMOSA,,true,1,1,12,0.08333333333333333,12,28,0.42857142857142855,3,7,0.42857142857142855,,,,1.6630001068115234,2.8450000286102295,4.508000135421753,10,340,1
bellmanFord.js,,0.015301993350018236,DynaMOSA,,true,0.5,2,6,0.3333333333333333,9,18,0.5,2,4,0.5,,,,0.39800000190734863,60.00800013542175,60.4060001373291,123,3835,1
breadthFirstSearch.js,,0.015301993350018236,DynaMOSA,,true,0.875,3,8,0.375,21,25,0.84,6,6,1,,,,0.3989999294281006,60.00800013542175,60.40700006484985,153,4747,1
graphBridges.js,,0.015301993350018236,DynaMOSA,,true,1,0,8,0,10,26,0.38461538461538464,3,7,0.42857142857142855,,,,0.3429999351501465,21.369999885559082,21.71299982070923,48,1518,1
depthFirstSearch.js,,0.015301993350018236,DynaMOSA,,true,0.7142857142857143,0,6,0,13,20,0.65,5,7,0.7142857142857143,,,,0.2950000762939453,60.00699996948242,60.30200004577637,175,5450,1
detectDirectedCycle.js,,0.015301993350018236,DynaMOSA,,true,1,2,8,0.25,16,30,0.5333333333333333,3,5,0.6,,,,0.3690001964569092,1.4679999351501465,1.8370001316070557,4,154,1
detectUndirectedCycle.js,,0.015301993350018236,DynaMOSA,,true,1,0,8,0,5,23,0.21739130434782608,1,3,0.3333333333333333,,,,0.3619999885559082,0,0.3619999885559082,0,30,1
detectUndirectedCycleUsingDisjointSet.js,,0.015301993350018236,DynaMOSA,,true,0.6666666666666666,0,2,0,5,9,0.5555555555555556,1,4,0.25,,,,0.3810000419616699,60.013999938964844,60.394999980926514,103,3213,1
dijkstra.js,,0.015301993350018236,DynaMOSA,,true,0.38461538461538464,2,10,0.2,12,25,0.48,1,3,0.3333333333333333,,,,0.5409998893737793,60.00999999046326,60.550999879837036,88,2750,1
eulerianPath.js,,0.015301993350018236,DynaMOSA,,true,0.2222222222222222,3,14,0.21428571428571427,15,36,0.4166666666666667,1,4,0.25,,,,0.5439999103546143,60.074000120162964,60.61800003051758,94,2913,1
floydWarshall.js,,0.015301993350018236,DynaMOSA,,true,0.7857142857142857,4,6,0.6666666666666666,19,22,0.8636363636363636,8,8,1,,,,0.4530000686645508,60.01900005340576,60.47200012207031,97,3016,1
hamiltonianCycle.js,,0.015301993350018236,DynaMOSA,,true,0.1875,2,10,0.2,17,31,0.5483870967741935,4,6,0.6666666666666666,,,,0.5099999904632568,60.01600003242493,60.526000022888184,88,2739,1
kruskal.js,,0.015301993350018236,DynaMOSA,,true,0.5555555555555556,3,10,0.3,10,18,0.5555555555555556,2,4,0.5,,,,0.565000057220459,60.01099991798401,60.57599997520447,100,3115,1
prim.js,,0.015301993350018236,DynaMOSA,,true,0.26666666666666666,2,12,0.16666666666666666,8,23,0.34782608695652173,1,3,0.3333333333333333,,,,0.5380001068115234,60.00200009346008,60.540000200271606,92,2854,1
stronglyConnectedComponents.js,,0.015301993350018236,DynaMOSA,,true,0.6,2,8,0.25,16,34,0.47058823529411764,3,10,0.3,,,,0.5540001392364502,60.01200008392334,60.56600022315979,81,2511,1
topologicalSort.js,,0.015301993350018236,DynaMOSA,,true,0.5,0,2,0,2,15,0.13333333333333333,1,5,0.2,,,,0.5349998474121094,60.01900005340576,60.55399990081787,78,2429,1
bfTravellingSalesman.js,,0.015301993350018236,DynaMOSA,,true,0.25,1,12,0.08333333333333333,9,40,0.225,3,6,0.5,,,,0.7100000381469727,60.139999866485596,60.84999990463257,76,2355,1
