TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,articulationPoints.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.7,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
2.3,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
2.5,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
2.8,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
3.1,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
3.4,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
3.7,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
3.9,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
4.2,articulationPoints.js,0,12,0,2,5,28.57,0,0,0,NaN,10,37,21.28
4.7,articulationPoints.js,1,12,8.33,3,5,42.86,0,0,1,NaN,16,32,34.04
0,bellmanFord.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
0.4,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
0.7,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
1,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
1.3,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
1.6,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
2.1,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,12,18,42.86
2.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,12,18,42.86
3,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,12,18,42.86
3.4,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,12,18,42.86
3.9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,12,18,42.86
4.3,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,12,18,42.86
4.9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,12,18,42.86
5.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,12,18,42.86
6.1,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
6.6,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
7.1,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
7.6,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
8.1,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
8.5,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
9,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
9.5,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
9.9,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
10.4,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
10.9,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
11.4,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
11.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
12.3,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
12.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
13.3,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
13.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
14.3,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
14.7,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
15.2,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
15.7,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
16.2,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
16.7,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
17.2,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
17.7,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
18.6,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
19.1,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
19.6,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
20,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
20.5,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
21,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
21.4,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
21.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
22.7,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
23.1,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
23.6,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
24,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
24.5,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
24.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
25.2,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
25.7,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
26.2,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
26.7,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
27.1,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
27.6,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
28,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
28.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
29.3,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
29.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
30.3,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
30.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
31.3,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
31.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
32.3,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
32.7,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
33.3,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
33.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
34.2,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
34.7,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
35.2,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
35.7,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
36.5,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
37.2,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
38,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
38.6,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
39.1,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
39.6,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
40.1,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
40.6,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
41.2,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
41.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
42.3,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
42.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
43.3,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
43.9,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
44.9,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
45.4,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
45.9,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
46.5,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
47,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
47.4,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
47.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
48.3,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
48.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
49.2,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
49.7,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
50.1,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
50.5,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
50.9,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
51.3,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
51.8,bellmanFord.js,3,6,50,2,5,50,0,0,3,NaN,14,17,50
