TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,Knapsack.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.8,Knapsack.js,0,40,0,8,6,57.14,0,0,0,NaN,18,102,15
2.2,Knapsack.js,0,40,0,8,6,57.14,0,0,0,NaN,18,102,15
2.5,Knapsack.js,0,40,0,8,6,57.14,0,0,0,NaN,18,102,15
2.8,Knapsack.js,0,40,0,8,6,57.14,0,0,0,NaN,18,102,15
3.2,Knapsack.js,0,40,0,8,6,57.14,0,0,0,NaN,18,102,15
3.5,Knapsack.js,2,40,5,8,8,57.14,0,0,2,NaN,26,96,21.67
3.9,Knapsack.js,4,40,10,11,7,78.57,0,0,4,NaN,41,83,34.17
4.2,Knapsack.js,4,40,10,11,7,78.57,0,0,4,NaN,41,83,34.17
4.5,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
4.9,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
5.2,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
5.5,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
5.8,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
6.1,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
6.5,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
6.8,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
7.1,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
7.4,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
7.7,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
8,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
8.3,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
8.6,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
8.9,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
9.2,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
9.5,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
9.8,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
10.1,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
10.4,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
10.7,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
11,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
11.3,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
11.6,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
11.9,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
12.1,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
12.2,Knapsack.js,9,40,22.5,13,10,92.86,0,0,9,NaN,54,75,45
12.5,Knapsack.js,13,40,32.5,13,14,92.86,0,0,13,NaN,64,69,53.33
12.7,Knapsack.js,13,40,32.5,13,14,92.86,0,0,13,NaN,64,69,53.33
