TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,Knapsack.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.9,Knapsack.js,0,40,0,8,6,57.14,0,0,0,NaN,18,102,15
2.3,Knapsack.js,0,40,0,8,6,57.14,0,0,0,NaN,18,102,15
2.6,Knapsack.js,0,40,0,8,6,57.14,0,0,0,NaN,18,102,15
3,Knapsack.js,0,40,0,8,6,57.14,0,0,0,NaN,18,102,15
3.3,Knapsack.js,2,40,5,11,5,78.57,0,0,2,NaN,33,89,27.5
3.7,Knapsack.js,2,40,5,11,5,78.57,0,0,2,NaN,33,89,27.5
4,Knapsack.js,2,40,5,11,5,78.57,0,0,2,NaN,33,89,27.5
4.3,Knapsack.js,2,40,5,11,5,78.57,0,0,2,NaN,33,89,27.5
4.6,Knapsack.js,2,40,5,11,5,78.57,0,0,2,NaN,33,89,27.5
5,Knapsack.js,2,40,5,11,5,78.57,0,0,2,NaN,33,89,27.5
5.3,Knapsack.js,2,40,5,11,5,78.57,0,0,2,NaN,33,89,27.5
5.6,Knapsack.js,2,40,5,11,5,78.57,0,0,2,NaN,33,89,27.5
6,Knapsack.js,7,40,17.5,11,10,78.57,0,0,7,NaN,47,80,39.17
6.3,Knapsack.js,7,40,17.5,11,10,78.57,0,0,7,NaN,47,80,39.17
6.6,Knapsack.js,7,40,17.5,11,10,78.57,0,0,7,NaN,47,80,39.17
6.9,Knapsack.js,7,40,17.5,11,10,78.57,0,0,7,NaN,47,80,39.17
7,Knapsack.js,7,40,17.5,11,10,78.57,0,0,7,NaN,47,80,39.17
7.3,Knapsack.js,7,40,17.5,11,10,78.57,0,0,7,NaN,47,80,39.17
7.6,Knapsack.js,7,40,17.5,11,10,78.57,0,0,7,NaN,47,80,39.17
7.9,Knapsack.js,7,40,17.5,11,10,78.57,0,0,7,NaN,47,80,39.17
8.3,Knapsack.js,7,40,17.5,11,10,78.57,0,0,7,NaN,47,80,39.17
8.6,Knapsack.js,7,40,17.5,11,10,78.57,0,0,7,NaN,47,80,39.17
8.9,Knapsack.js,7,40,17.5,11,10,78.57,0,0,7,NaN,47,80,39.17
9.2,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
9.5,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
9.8,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
10.1,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
10.4,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
10.7,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
11,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
11.3,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
11.7,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
12,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
12.3,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
12.6,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
12.9,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
13.2,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
13.5,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
13.8,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
14.1,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
14.4,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
14.7,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
15,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
15.3,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
15.4,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
15.7,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
16,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
16.3,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
16.7,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
17,Knapsack.js,9,40,22.5,12,11,85.71,0,0,9,NaN,52,77,43.33
17.3,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
17.6,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
17.9,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
18.2,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
18.5,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
18.8,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
19.1,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
19.4,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
19.7,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
20,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
20.4,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
20.7,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
21,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
22.9,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
23.3,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
23.6,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
23.9,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
24.2,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
24.5,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
24.8,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
25.2,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
25.5,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
25.8,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
26.1,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
26.5,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
26.8,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
27.1,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
27.4,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
27.7,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
28,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
28.4,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
28.7,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
29,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
29.3,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
29.6,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
29.9,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
30.3,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
30.6,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
31,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
31.3,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
31.6,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
31.9,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
32.2,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
32.6,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
32.9,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
33.2,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
33.5,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
33.8,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
34.1,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
34.5,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
34.8,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
35.1,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
35.5,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
35.8,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
36.1,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
36.4,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
36.7,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
37.1,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
37.4,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
37.7,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
38.1,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
38.4,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
38.7,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
39.1,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
40,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
40.4,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
40.7,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
41.1,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
41.4,Knapsack.js,13,40,32.5,12,15,85.71,0,0,13,NaN,62,71,51.67
41.7,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
42,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
42.3,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
42.6,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
42.9,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
43.3,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
43.6,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
44,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
44.3,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
44.6,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
44.9,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
45.2,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
45.6,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
45.9,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
46.2,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
46.5,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
46.8,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
47.2,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
47.5,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
47.9,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
48.2,Knapsack.js,14,40,35,12,16,85.71,0,0,14,NaN,65,69,54.17
48.5,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
48.8,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
49.2,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
49.5,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
49.8,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
50.1,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
50.5,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
50.8,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
51.2,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
51.5,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
51.8,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
52.1,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
52.4,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
52.7,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
53,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
53.3,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
53.7,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
54,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
54.4,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
54.7,Knapsack.js,20,40,50,12,22,85.71,0,0,20,NaN,78,62,65
