SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
Matrix.js,,0.6581587763606306,DynaMOSA,,true,0.25806451612903225,2,38,0.05263157894736842,20,107,0.18691588785046728,1,24,0.041666666666666664,,,,1.8329999446868896,60.126999855041504,61.959999799728394,167,5185,1
Matrix.js,,0.6581587763606306,DynaMOSA,,true,0.3870967741935484,5,38,0.13157894736842105,28,107,0.2616822429906542,3,24,0.125,,,,0.31100010871887207,60.003000020980835,60.31400012969971,215,6695,1
Matrix.js,,0.6581587763606306,DynaMOSA,,true,0.5,9,38,0.23684210526315788,37,107,0.34579439252336447,6,24,0.25,,,,0.27899980545043945,60.01600003242493,60.294999837875366,207,6429,1
Matrix.js,,0.6581587763606306,DynaMOSA,,true,0.6451612903225806,9,38,0.23684210526315788,38,107,0.35514018691588783,8,24,0.3333333333333333,,,,0.2869999408721924,60.01300001144409,60.299999952316284,193,5983,1
Matrix.js,,0.6581587763606306,DynaMOSA,,true,0.8064516129032258,11,38,0.2894736842105263,44,107,0.411214953271028,10,24,0.4166666666666667,,,,0.3659999370574951,60.20099997520447,60.56699991226196,154,4780,1
Matrix.js,,0.6581587763606306,DynaMOSA,,true,1.1774193548387097,15,38,0.39473684210526316,51,107,0.4766355140186916,11,24,0.4583333333333333,,,,0.39499998092651367,60.01799988746643,60.412999868392944,151,4708,1
Matrix.js,,0.6581587763606306,DynaMOSA,,true,1.3548387096774193,21,38,0.5526315789473685,59,107,0.5514018691588785,13,24,0.5416666666666666,,,,3.1629998683929443,60.67700004577637,63.83999991416931,24,757,1
Matrix.js,,0.6581587763606306,DynaMOSA,,true,1.403225806451613,23,38,0.6052631578947368,63,107,0.5887850467289719,14,24,0.5833333333333334,,,,0.3899998664855957,60.00699996948242,60.39699983596802,138,4304,1
Matrix.js,,0.6581587763606306,DynaMOSA,,true,1.4516129032258065,25,38,0.6578947368421053,67,107,0.6261682242990654,15,24,0.625,,,,0.41100001335144043,60.014999866485596,60.425999879837036,126,3907,1
Matrix.js,,0.6581587763606306,DynaMOSA,,true,1.6451612903225807,28,38,0.7368421052631579,71,107,0.6635514018691588,16,24,0.6666666666666666,,,,0.442000150680542,60.007999897003174,60.450000047683716,121,3751,1
Matrix.js,,0.6581587763606306,DynaMOSA,,true,1.7258064516129032,28,38,0.7368421052631579,72,107,0.6728971962616822,17,24,0.7083333333333334,,,,0.46700000762939453,60.00999999046326,60.47699999809265,115,3574,1
Matrix.js,,0.6581587763606306,DynaMOSA,,true,1.9193548387096775,28,38,0.7368421052631579,73,107,0.6822429906542056,18,24,0.75,,,,0.4829998016357422,60.01799988746643,60.50099968910217,110,3412,1
