TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,RedBlackTree.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.1,RedBlackTree.js,4,34,11.76,11,6,84.62,0,0,4,NaN,42,96,31.34
2.6,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,56,85,41.79
3.1,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,56,85,41.79
3.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
4.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
4.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
5.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
5.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
6.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
6.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
6.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
7.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
7.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
8.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
8.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
9.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
9.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
10.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
10.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
10.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
11.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
11.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
12.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
12.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
13,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
13.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
13.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
14.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
14.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
14.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
15.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
15.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
16.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
16.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
17.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
17.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
17.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
18.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
18.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
19.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
19.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
20,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
20.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
20.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
21.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
22,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
22.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
22.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
23.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
23.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
24,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
24.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
24.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
25.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
25.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
26,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
26.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
26.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
27.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
27.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
28,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
28.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
28.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
29.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
29.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
30,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
30.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
30.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
31.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
31.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
32,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
32.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
32.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
33.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
33.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
33.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
34.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
34.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
35,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
35.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
35.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
36.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
36.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
36.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
37.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
37.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
37.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
38.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
38.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
39,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
39.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
39.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
40.2,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
40.6,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
40.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
41.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
41.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
42,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
42.4,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
42.8,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
43.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
43.5,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
43.9,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
44.3,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
44.7,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
45.1,RedBlackTree.js,9,34,26.47,13,9,100,0,0,9,NaN,61,82,45.52
