TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,equalArrays.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.7,equalArrays.js,14,24,58.33,1,15,50,0,0,14,NaN,41,36,65.08
2,equalArrays.js,14,24,58.33,1,15,50,0,0,14,NaN,41,36,65.08
2.4,equalArrays.js,14,24,58.33,1,15,50,0,0,14,NaN,41,36,65.08
2.7,equalArrays.js,14,24,58.33,1,15,50,0,0,14,NaN,41,36,65.08
3,equalArrays.js,14,24,58.33,1,15,50,0,0,14,NaN,41,36,65.08
3.3,equalArrays.js,14,24,58.33,1,15,50,0,0,14,NaN,41,36,65.08
3.6,equalArrays.js,14,24,58.33,1,15,50,0,0,14,NaN,41,36,65.08
4,equalArrays.js,14,24,58.33,1,15,50,0,0,14,NaN,41,36,65.08
4.3,equalArrays.js,14,24,58.33,1,15,50,0,0,14,NaN,41,36,65.08
4.7,equalArrays.js,14,24,58.33,1,15,50,0,0,14,NaN,41,36,65.08
5.2,equalArrays.js,14,24,58.33,1,15,50,0,0,14,NaN,41,36,65.08
5.6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
6.5,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
6.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
7.3,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
7.7,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
8.1,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
8.5,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
8.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
9.3,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
9.7,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
10.1,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
10.5,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
10.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
11.3,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
11.7,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
12.1,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
12.5,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
13,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
13.4,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
13.8,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
14.2,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
14.6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
15,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
15.4,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
16.1,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
16.5,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
16.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
17.4,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
17.8,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
18.2,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
18.6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
18.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
19.3,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
19.7,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
20.1,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
20.5,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
20.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
21.3,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
21.7,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
22.1,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
22.5,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
22.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
23.3,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
23.6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
23.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
24.2,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
24.6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
24.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
25,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
25.4,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
25.7,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
26.1,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
26.5,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
26.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
27.3,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
27.7,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
28.1,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
28.6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
29,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
29.3,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
29.8,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
30.2,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
30.6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
31,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
31.7,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
32.1,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
32.5,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
32.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
33.3,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
33.7,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
34.1,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
34.5,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
34.9,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
35.2,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
35.6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
36,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
36.4,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
36.8,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
37.2,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
37.6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
38,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
38.4,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
38.8,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
39.2,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
39.6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
40,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
40.4,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
40.8,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
41.2,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
41.6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
42,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
42.4,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
42.8,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
43.2,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
43.6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
44,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
44.4,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
44.8,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
45.2,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
45.6,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
46,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
46.4,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
46.8,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
47.3,equalArrays.js,16,24,66.67,1,17,50,0,0,16,NaN,46,33,73.02
