SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
check-overflow.js,,0.10353559451164691,DynaMOSA,,true,0.2857142857142857,12,20,0.6,8,11,0.7272727272727273,1,1,1,,,,2.4689998626708984,60.00800013542175,62.47699999809265,200,6229,1
date-from-array.js,,0.10353559451164691,DynaMOSA,,true,0.5,4,8,0.5,6,14,0.42857142857142855,1,2,0.5,,,,0.37800002098083496,60.01099991798401,60.388999938964844,158,4900,1
date-from-array.js,,0.10353559451164691,DynaMOSA,,true,1,7,8,0.875,14,14,1,2,2,1,,,,0.3259999752044678,60.00600004196167,60.33200001716614,176,5468,1
from-anything.js,,0.10353559451164691,DynaMOSA,,true,0.3076923076923077,20,34,0.5882352941176471,37,56,0.6607142857142857,4,5,0.8,,,,0.5940001010894775,60.00699996948242,60.6010000705719,111,3442,1
from-anything.js,,0.10353559451164691,DynaMOSA,,true,0.6410256410256411,24,34,0.7058823529411765,45,56,0.8035714285714286,5,5,1,,,,0.44900012016296387,60.015000104904175,60.46400022506714,116,3601,1
from-array.js,,0.10353559451164691,DynaMOSA,,true,0.0851063829787234,2,52,0.038461538461538464,5,74,0.06756756756756757,2,5,0.4,,,,0.5399999618530273,60.0220000743866,60.562000036239624,95,2948,1
from-object.js,,0.10353559451164691,DynaMOSA,,true,0.5,2,4,0.5,6,7,0.8571428571428571,2,2,1,,,,0.69100022315979,60.015000104904175,60.706000328063965,91,2851,1
from-string-and-array.js,,0.10353559451164691,DynaMOSA,,true,0.35294117647058826,5,16,0.3125,14,29,0.4827586206896552,1,1,1,,,,0.5449998378753662,60.014999866485596,60.55999970436096,103,3217,1
from-string-and-format.js,,0.10353559451164691,DynaMOSA,,true,0.2777777777777778,17,32,0.53125,36,56,0.6428571428571429,2,4,0.5,,,,0.5850000381469727,60.00699996948242,60.592000007629395,86,2694,1
from-string.js,,0.10353559451164691,DynaMOSA,,true,0.03508771929824561,1,50,0.02,6,96,0.0625,1,9,0.1111111111111111,,,,0.5740001201629639,60.06400012969971,60.63800024986267,90,2800,1
from-string.js,,0.10353559451164691,DynaMOSA,,true,0.08771929824561403,2,50,0.04,10,96,0.10416666666666667,3,9,0.3333333333333333,,,,1.5720000267028809,60.013999938964844,61.585999965667725,78,2446,1
from-string.js,,0.10353559451164691,DynaMOSA,,true,0.2982456140350877,8,50,0.16,22,96,0.22916666666666666,5,9,0.5555555555555556,,,,0.7300000190734863,60.021000146865845,60.75100016593933,69,2141,1
parsing-flags.js,,0.10353559451164691,DynaMOSA,,true,1,2,2,1,4,4,1,2,2,1,,,,0.6070001125335693,0,0.6070001125335693,0,30,1
valid.js,,0.10353559451164691,DynaMOSA,,true,0.45454545454545453,1,8,0.125,4,16,0.25,1,3,0.3333333333333333,,,,0.7100000381469727,60.0220000743866,60.73200011253357,77,2394,1
valid.js,,0.10353559451164691,DynaMOSA,,true,1.0909090909090908,3,8,0.375,9,16,0.5625,2,3,0.6666666666666666,,,,0.6100001335144043,60.014999866485596,60.625,84,2632,1
