SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
check-overflow.js,,0.6155159069123741,DynaMOSA,,true,0.2857142857142857,12,20,0.6,8,11,0.7272727272727273,1,1,1,,,,2.503999948501587,60.00699996948242,62.51099991798401,201,6234,1
date-from-array.js,,0.6155159069123741,DynaMOSA,,true,0.5,4,8,0.5,6,14,0.42857142857142855,1,2,0.5,,,,0.33699989318847656,60.003000020980835,60.33999991416931,164,5087,1
date-from-array.js,,0.6155159069123741,DynaMOSA,,true,1,7,8,0.875,14,14,1,2,2,1,,,,0.3039999008178711,60.00699996948242,60.31099987030029,177,5497,1
from-anything.js,,0.6155159069123741,DynaMOSA,,true,0.23076923076923078,14,34,0.4117647058823529,20,56,0.35714285714285715,2,5,0.4,,,,0.5239999294281006,60.00800013542175,60.53200006484985,128,3994,1
from-anything.js,,0.6155159069123741,DynaMOSA,,true,0.5641025641025641,24,34,0.7058823529411765,45,56,0.8035714285714286,5,5,1,,,,0.4960000514984131,60.019999980926514,60.51600003242493,118,3666,1
from-array.js,,0.6155159069123741,DynaMOSA,,true,0.0851063829787234,2,52,0.038461538461538464,5,74,0.06756756756756757,2,5,0.4,,,,0.5409998893737793,60.01199984550476,60.55299973487854,105,3283,1
from-object.js,,0.6155159069123741,DynaMOSA,,true,0.5,2,4,0.5,6,7,0.8571428571428571,2,2,1,,,,1.0839998722076416,60.00599980354309,61.08999967575073,100,3129,1
from-string-and-array.js,,0.6155159069123741,DynaMOSA,,true,0.35294117647058826,5,16,0.3125,14,29,0.4827586206896552,1,1,1,,,,0.556999921798706,60.01899981498718,60.57599973678589,94,2915,1
from-string-and-format.js,,0.6155159069123741,DynaMOSA,,true,0.1388888888888889,12,32,0.375,24,56,0.42857142857142855,1,4,0.25,,,,0.622999906539917,60.020999908447266,60.64399981498718,98,3049,1
from-string.js,,0.6155159069123741,DynaMOSA,,true,0.03508771929824561,1,50,0.02,6,96,0.0625,1,9,0.1111111111111111,,,,0.619999885559082,60.007999897003174,60.627999782562256,92,2869,1
from-string.js,,0.6155159069123741,DynaMOSA,,true,0.08771929824561403,2,50,0.04,10,96,0.10416666666666667,3,9,0.3333333333333333,,,,0.6729998588562012,60.01200008392334,60.68499994277954,81,2535,1
from-string.js,,0.6155159069123741,DynaMOSA,,true,0.2982456140350877,8,50,0.16,22,96,0.22916666666666666,5,9,0.5555555555555556,,,,0.7260000705718994,60.01099991798401,60.73699998855591,79,2462,1
parsing-flags.js,,0.6155159069123741,DynaMOSA,,true,1,1,2,0.5,4,4,1,2,2,1,,,,0.556999921798706,0,0.556999921798706,0,30,1
valid.js,,0.6155159069123741,DynaMOSA,,true,0.45454545454545453,1,8,0.125,4,16,0.25,1,3,0.3333333333333333,,,,0.6820001602172852,60.004000186920166,60.68600034713745,84,2633,1
valid.js,,0.6155159069123741,DynaMOSA,,true,1.0909090909090908,3,8,0.375,9,16,0.5625,2,3,0.6666666666666666,,,,0.6359999179840088,60.01900005340576,60.65499997138977,87,2717,1
