TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,check-overflow.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.5,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
2.8,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
3.2,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
3.5,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
3.8,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
4.1,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
4.4,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
4.7,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
5,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
5.3,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
5.6,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
5.9,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
6.2,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
6.5,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
6.8,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
7.2,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
7.5,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
7.8,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
8.1,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
8.4,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
8.7,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
9,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
9.3,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
9.6,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
9.9,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
10.2,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
10.5,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
10.8,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
11.1,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
11.4,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
11.7,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
12,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
12.3,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
12.6,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
12.9,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
13.2,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
13.5,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
13.8,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
14.1,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
14.4,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
14.7,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
15,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
15.3,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
15.6,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
15.9,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
16.2,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
16.3,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
16.6,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
16.9,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
17.2,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
17.5,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
17.8,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
18.1,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
18.4,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
18.7,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
19,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
19.6,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
19.9,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
20.2,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
20.5,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
20.7,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
21,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
21.3,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
21.6,check-overflow.js,11,20,55,1,11,100,0,0,11,NaN,20,23,62.5
