TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,help.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
3.2,help.js,11,66,16.67,17,31,45.95,0,0,11,NaN,64,169,28.83
4.5,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,81,159,36.49
5.6,help.js,22,66,33.33,20,39,54.05,0,0,22,NaN,95,149,36.49
5.7,help.js,22,66,33.33,20,39,54.05,0,0,22,NaN,95,149,42.79
6.9,help.js,22,66,33.33,20,39,54.05,0,0,22,NaN,95,149,42.79
8.1,help.js,22,66,33.33,20,39,54.05,0,0,22,NaN,95,149,42.79
9.3,help.js,22,66,33.33,20,39,54.05,0,0,22,NaN,95,149,42.79
10.5,help.js,22,66,33.33,20,39,54.05,0,0,22,NaN,95,149,42.79
11.9,help.js,22,66,33.33,20,39,54.05,0,0,22,NaN,95,149,42.79
13.2,help.js,25,66,37.88,20,42,54.05,0,0,25,NaN,99,148,44.59
14.5,help.js,26,66,39.39,20,43,54.05,0,0,26,NaN,101,147,45.5
15.9,help.js,26,66,39.39,20,43,54.05,0,0,26,NaN,101,147,45.5
17,help.js,26,66,39.39,20,43,54.05,0,0,26,NaN,101,147,45.5
18,help.js,30,66,45.45,20,47,54.05,0,0,30,NaN,114,138,51.35
19.3,help.js,30,66,45.45,20,47,54.05,0,0,30,NaN,114,138,51.35
20.6,help.js,30,66,45.45,20,47,54.05,0,0,30,NaN,114,138,51.35
21.8,help.js,30,66,45.45,20,47,54.05,0,0,30,NaN,114,138,51.35
22.9,help.js,30,66,45.45,20,47,54.05,0,0,30,NaN,114,138,51.35
24,help.js,30,66,45.45,20,47,54.05,0,0,30,NaN,114,138,51.35
25.5,help.js,30,66,45.45,20,47,54.05,0,0,30,NaN,114,138,51.35
26.6,help.js,33,66,50,20,50,54.05,0,0,33,NaN,121,134,54.5
27.7,help.js,33,66,50,20,50,54.05,0,0,33,NaN,121,134,54.5
29.1,help.js,34,66,51.52,20,51,54.05,0,0,34,NaN,122,134,54.95
30.1,help.js,34,66,51.52,20,51,54.05,0,0,34,NaN,122,134,54.95
30.2,help.js,34,66,51.52,20,51,54.05,0,0,34,NaN,122,134,54.95
31.1,help.js,34,66,51.52,20,51,54.05,0,0,34,NaN,122,134,54.95
32.6,help.js,34,66,51.52,20,51,54.05,0,0,34,NaN,122,134,54.95
33.8,help.js,34,66,51.52,20,51,54.05,0,0,34,NaN,122,134,54.95
35.2,help.js,34,66,51.52,20,51,54.05,0,0,34,NaN,122,134,54.95
36.3,help.js,34,66,51.52,20,51,54.05,0,0,34,NaN,122,134,54.95
36.4,help.js,34,66,51.52,20,51,54.05,0,0,34,NaN,122,134,54.95
37.8,help.js,34,66,51.52,20,51,54.05,0,0,34,NaN,122,134,54.95
38.9,help.js,35,66,53.03,20,52,54.05,0,0,35,NaN,124,133,55.86
40.2,help.js,35,66,53.03,20,52,54.05,0,0,35,NaN,124,133,55.86
42.1,help.js,35,66,53.03,20,52,54.05,0,0,35,NaN,124,133,55.86
43.5,help.js,35,66,53.03,20,52,54.05,0,0,35,NaN,124,133,55.86
44.7,help.js,35,66,53.03,20,52,54.05,0,0,35,NaN,124,133,55.86
46.5,help.js,36,66,54.55,20,53,54.05,0,0,36,NaN,125,133,56.31
48.8,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
50.1,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
51.3,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
52.7,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
53.6,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
53.7,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
55.1,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
56.1,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
57.2,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
58.2,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
59.2,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
60.3,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
61.3,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
62.4,help.js,38,66,57.58,20,55,54.05,0,0,38,NaN,130,130,58.56
