TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,help.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
3.1,help.js,9,66,13.64,18,28,48.65,0,0,9,NaN,60,171,27.03
4.4,help.js,13,66,19.7,18,32,48.65,0,0,13,NaN,68,167,30.63
5.7,help.js,17,66,25.76,19,35,51.35,0,0,17,NaN,79,160,35.59
6.6,help.js,17,66,25.76,19,35,51.35,0,0,17,NaN,79,160,35.59
6.7,help.js,17,66,25.76,19,35,51.35,0,0,17,NaN,79,160,35.59
7.9,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,80,160,36.04
8.9,help.js,18,66,27.27,19,36,51.35,0,0,18,NaN,80,160,36.04
10.2,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
11.5,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
12.7,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
13.9,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
15.2,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
16.5,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
17.8,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
19.6,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
21,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
22,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
22.1,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
23.2,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
25,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
26.3,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
27.4,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
28.4,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
29.6,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
30.7,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
32,help.js,22,66,33.33,19,40,51.35,0,0,22,NaN,88,156,39.64
34,help.js,26,66,39.39,19,44,51.35,0,0,26,NaN,101,147,45.5
35.8,help.js,26,66,39.39,19,44,51.35,0,0,26,NaN,101,147,45.5
37,help.js,26,66,39.39,19,44,51.35,0,0,26,NaN,101,147,45.5
38.1,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
39.2,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
40.5,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
41.6,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
41.7,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
42.8,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
43.9,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
45.7,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
47.3,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
48.4,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
50.4,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
51.6,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
52.9,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
54,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
54.1,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
55.3,help.js,27,66,40.91,19,45,51.35,0,0,27,NaN,102,147,45.95
