TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,application.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
3.8,application.js,23,52,44.23,15,34,57.69,0,0,23,NaN,158,130,59.62
5.2,application.js,27,52,51.92,16,37,57.69,0,0,23,NaN,158,130,59.62
5.3,application.js,27,52,51.92,16,37,61.54,0,0,27,NaN,169,123,63.77
6.6,application.js,27,52,51.92,16,37,61.54,0,0,27,NaN,169,123,63.77
7.9,application.js,28,52,53.85,16,38,61.54,0,0,28,NaN,171,122,64.53
9.4,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
10.7,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
12,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
13.2,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
13.3,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
14.5,application.js,32,52,61.54,18,40,69.23,0,0,32,NaN,185,112,69.81
15.7,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
16.9,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
17,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
18.2,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
19.4,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
20.6,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
21.8,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
23,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
24.2,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
24.3,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
25.5,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
26.7,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
27.9,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
29.1,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
30.3,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
31.5,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
32.7,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
33.9,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
35.1,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
36.3,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
37.5,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
38.7,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
39.9,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
41,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
41.1,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
42.2,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
43.4,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
44.6,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
45.7,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
45.8,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
47,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
48.2,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
49.4,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
50.6,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
51.9,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
53.4,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
54.6,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
54.7,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
55.8,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
57,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
57.1,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
58.2,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
58.3,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
59.4,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
59.5,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
60.7,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
62.2,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
63.3,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
63.4,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
63.8,application.js,33,52,63.46,18,41,69.23,0,0,33,NaN,187,111,70.57
0,request.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.2,request.js,11,44,25,7,24,35,0,0,11,NaN,78,106,45.09
2.2,request.js,11,44,25,7,24,35,0,0,11,NaN,78,106,45.09
3.1,request.js,11,44,25,7,24,35,0,0,11,NaN,78,106,45.09
4.1,request.js,11,44,25,7,24,35,0,0,11,NaN,78,106,45.09
5.1,request.js,11,44,25,7,24,35,0,0,11,NaN,78,106,45.09
6.1,request.js,11,44,25,7,24,35,0,0,11,NaN,78,106,45.09
7.3,request.js,11,44,25,7,24,35,0,0,11,NaN,78,106,45.09
